;Player;90s;SCA;SCA90;ShootPass;ShootDrib;GCA;GCA90;AssistPass;AssistDrib
2649;Adam Webster;29.6;22;0.74;19;1;1;0.03;1;0
2650;Wout Weghorst;30.4;83;2.73;61;6;9;0.30;6;1
2651;Julian Weigl;11.3;9;0.79;7;0;1;0.09;0;0
2652;Mitchell Weiser;13.0;16;1.23;11;0;1;0.08;1;0
2653;Danny Welbeck;9.1;9;0.99;6;2;1;0.11;0;0
2654;Wendell;21.1;30;1.42;24;1;7;0.33;5;0
2655;Oscar Wendt;18.7;29;1.55;24;0;4;0.21;3;0
2656;Timo Werner;31.1;117;3.77;83;18;19;0.61;12;5
2657;Ashley Westwood;35.0;94;2.69;60;0;9;0.26;3;0
2658;Connor Wickham;1.1;2;1.87;2;0;0;0.00;0;0
2659;Felix Wiedwald;3.0;0;0.00;0;0;0;0.00;0;0
2660;Georginio Wijnaldum;32.6;46;1.41;36;5;3;0.09;3;0
2661;Jetro Willems;16.6;35;2.11;27;4;6;0.36;4;1
2662;William;15.2;28;1.85;19;3;2;0.13;1;0
2663;Brandon Williams;11.2;24;2.15;21;1;1;0.09;0;0
2664;Iñaki Williams;32.7;81;2.48;49;11;9;0.28;4;2
2665;Neco Williams;2.6;4;1.57;3;1;0;0.00;0;0
2666;Willian;28.9;148;5.12;98;6;14;0.48;10;0
2667;Joe Willock;9.5;33;3.47;26;3;3;0.32;3;0
2668;Jack Wilshere;2.4;1;0.42;1;0;1;0.42;1;0
2669;Callum Wilson;32.3;58;1.80;43;3;7;0.22;2;1
2670;Harry Wilson;18.3;44;2.41;30;1;3;0.16;1;0
2671;Harry Winks;24.7;38;1.54;34;0;5;0.20;5;0
2672;Florian Wirtz;4.1;6;1.47;5;1;0;0.00;0;0
2673;Axel Witsel;24.9;29;1.16;26;2;9;0.36;9;0
2674;Hannes Wolf;0.6;2;3.10;2;0;0;0.00;0;0
2675;Marius Wolf;15.7;33;2.11;26;3;5;0.32;3;0
2676;Nick Woltemade;1.0;2;1.96;2;0;0;0.00;0;0
2677;Chris Wood;27.1;50;1.85;32;5;4;0.15;3;0
2678;Xeka;7.9;19;2.41;14;3;1;0.13;0;0
2679;Granit Xhaka;28.7;42;1.46;33;2;4;0.14;3;0
2680;Jawad El Yamiq;2.2;3;1.37;2;0;0;0.00;0;0
2681;Andriy Yarmolenko;11.0;35;3.18;29;3;6;0.54;4;2
2682;Yusuf Yazıcı;9.4;44;4.67;16;5;5;0.53;2;0
2683;DeAndre Yedlin;10.4;15;1.44;13;1;0;0.00;0;0
2684;Yoel;3.0;0;0.00;0;0;0;0.00;0;0
2685;Okay Yokuşlu;21.9;13;0.59;12;0;3;0.14;2;0
2686;Maya Yoshida;6.2;2;0.32;1;0;0;0.00;0;0
2687;Maya Yoshida;13.2;5;0.38;4;0;1;0.08;0;0
2688;Elie Youan;1.8;2;1.10;2;0;0;0.00;0;0
2689;Amin Younes;2.0;10;5.11;10;0;0;0.00;0;0
2690;Ashley Young;10.6;26;2.45;11;0;0;0.00;0;0
2691;Ashley Young;13.2;42;3.19;32;3;6;0.46;5;0
2692;Zaydou Youssouf;12.0;22;1.84;17;1;2;0.17;2;0
2693;Pablo Zabaleta;6.6;5;0.76;5;0;0;0.00;0;0
2694;Mattia Zaccagni;23.5;69;2.94;52;5;14;0.60;8;1
2695;Dan-Axel Zagadou;10.9;11;1.01;11;0;1;0.09;1;0
2696;Arthur Zagre;0.3;0;0.00;0;0;0;0.00;0;0
2697;Wilfried Zaha;36.4;107;2.94;62;22;8;0.22;4;0
2698;Denis Zakaria;21.6;26;1.20;23;2;4;0.18;4;0
2699;Joseba Zaldúa;28.3;31;1.10;24;1;8;0.28;6;0
2700;Andre-Frank Zambo Anguissa;28.7;57;1.99;41;5;7;0.24;2;1
2701;Luca Zanimacchia;1.3;5;3.75;4;0;0;0.00;0;0
2702;Nicolò Zaniolo;16.7;65;3.89;39;16;10;0.60;4;3
2703;Cristián Zapata;19.1;13;0.68;8;1;0;0.00;0;0
