;Player;90s;SCA;SCA90;ShootPass;ShootDrib;GCA;GCA90;AssistPass;AssistDrib
0;Patrick van Aanholt;27.9;62;2.23;32;3;5;0.18;3;1
1;Max Aarons;36.0;55;1.53;42;3;3;0.08;1;0
2;Yunis Abdelhamid;28.0;16;0.57;11;0;1;0.04;1;0
3;Suleiman Abdullahi;1.7;2;1.15;1;1;0;0.00;0;0
4;Mehdi Abeid;20.2;46;2.28;27;1;4;0.20;2;0
5;Charles Abi;6.9;12;1.73;8;0;1;0.14;0;0
6;David Abraham;18.8;11;0.59;10;0;0;0.00;0;0
7;Tammy Abraham;24.6;50;2.03;33;6;10;0.41;4;3
8;Amir Abrashi;7.4;10;1.36;8;1;0;0.00;0;0
9;Francesco Acerbi;35.1;27;0.77;24;1;3;0.09;3;0
10;Che Adams;12.3;25;2.03;15;3;5;0.41;2;1
11;Tyler Adams;10.6;18;1.70;14;0;2;0.19;1;0
12;Sargis Adamyan;8.3;20;2.41;16;1;4;0.48;3;0
13;Antonio Adán;0.3;0;0.00;0;0;0;0.00;0;0
14;Bobby Adekanye;2.1;6;2.87;3;0;0;0.00;0;0
15;Claud Adjapong;2.6;1;0.39;0;1;0;0.00;0;0
16;Amine Adli;0.5;3;5.87;2;0;0;0.00;0;0
17;Yacine Adli;11.3;38;3.35;25;4;7;0.62;3;2
18;Adrián;9.7;2;0.21;2;0;0;0.00;0;0
19;Aritz Aduriz;2.3;2;0.87;1;1;0;0.00;0;0
20;Lumor Agbenyenu;20.1;33;1.65;23;2;0;0.00;0;0
21;Martin Agirregabiria;23.3;23;0.99;18;2;3;0.13;3;0
22;Lucien Agoume;0.8;2;2.65;2;0;1;1.32;1;0
23;Kevin Agudelo;0.7;6;8.44;4;2;1;1.41;1;0
24;Kevin Agudelo;7.4;31;4.19;21;5;2;0.27;1;0
25;Nayef Aguerd;10.6;3;0.28;3;0;1;0.09;1;0
26;Sergio Agüero;16.1;51;3.16;28;9;8;0.50;4;1
27;Ruben Aguilar;11.9;24;2.01;22;0;3;0.25;3;0
28;Emmanuel Agyemang-Badu;2.6;3;1.17;3;0;0;0.00;0;0
29;Jean-Eudes Aholou;7.0;12;1.71;7;1;1;0.14;0;0
30;Joseph Aidoo;27.8;13;0.47;9;1;2;0.07;2;0
31;Ola Aina;23.1;46;1.99;25;4;7;0.30;3;0
32;Youssef Aït Bennasser;6.0;8;1.34;8;0;2;0.34;2;0
33;Rayan Aït Nouri;14.2;22;1.54;17;0;4;0.28;4;0
34;Albian Ajeti;1.5;2;1.29;2;0;0;0.00;0;0
35;Ludovic Ajorque;22.9;36;1.57;27;3;10;0.44;6;1
36;Manuel Akanji;25.7;10;0.39;9;0;3;0.12;3;0
37;Marley Aké;1.1;4;3.64;3;1;1;0.91;1;0
38;Nathan Aké;27.8;13;0.47;7;1;2;0.07;1;0
39;Chadrac Akolo;6.0;17;2.81;9;2;4;0.66;1;1
40;Kevin Akpoguma;12.7;4;0.32;4;0;0;0.00;0;0
41;David Alaba;27.8;38;1.37;33;1;2;0.07;1;0
42;Sofiane Alakouch;15.6;25;1.61;22;1;3;0.19;3;0
43;Lucas Alario;13.0;30;2.30;21;2;3;0.23;1;0
44;Jordi Alba;24.3;45;1.85;44;0;5;0.21;5;0
45;Luis Alberto;34.6;206;5.96;135;16;29;0.84;22;0
46;Raúl Albiol;36.0;16;0.44;16;0;1;0.03;1;0
47;Marc Albrighton;9.6;26;2.70;22;1;5;0.52;5;0
48;Paco Alcácer;10.3;16;1.56;14;0;3;0.29;2;0
49;Paco Alcácer;5.9;14;2.38;10;2;3;0.51;2;0
50;Thiago Alcántara;19.7;57;2.90;44;3;8;0.41;6;2
51;Rubén Alcaraz;21.4;44;2.06;24;5;4;0.19;4;0
52;Toby Alderweireld;32.9;21;0.64;18;0;3;0.09;2;0
53;Haitam Aleesami;21.3;27;1.27;23;0;3;0.14;3;0
54;Álex Alegría;1.2;1;0.83;0;0;0;0.00;0;0
55;Carles Aleñá;1.9;2;1.05;2;0;1;0.52;1;0
56;Carles Aleñá;8.2;13;1.59;13;0;1;0.12;1;0
57;Rúnar Alex Rúnarsson;10.0;3;0.30;1;0;0;0.00;0;0
58;Trent Alexander-Arnold;35.3;152;4.31;91;3;24;0.68;14;0
59;Enrico Alfonso;3.1;0;0.00;0;0;0;0.00;0;0
60;Rachid Alioui;17.4;39;2.25;30;4;2;0.12;2;0
61;Alisson;28.3;4;0.14;4;0;1;0.04;1;0
62;Allan;14.2;41;2.88;36;4;3;0.21;3;0
63;Dele Alli;20.5;54;2.63;39;9;12;0.58;5;5
64;Miguel Almirón;33.6;80;2.38;58;7;2;0.06;2;0
65;Marcos Alonso;15.9;47;2.96;36;1;6;0.38;4;0
66;Mickaël Alphonse;15.3;17;1.11;12;0;3;0.20;2;0
67;Sergio Álvarez;12.7;12;0.94;10;1;0;0.00;0;0
68;Sergio Álvarez;2.0;0;0.00;0;0;0;0.00;0;0
69;Yeray Álvarez;31.2;19;0.61;17;0;1;0.03;1;0
70;Bruno Alves;29.7;15;0.51;11;0;0;0.00;0;0
71;Steven Alzate;13.2;30;2.27;22;5;1;0.08;0;0
72;Ibrahim Amadou;8.4;1;0.12;1;0;0;0.00;0;0
73;Ibrahim Amadou;8.6;2;0.23;2;0;0;0.00;0;0
74;Romain Amalfitano;18.8;27;1.43;18;3;2;0.11;2;0
75;Amath;0.7;1;1.36;1;0;0;0.00;0;0
76;Jordan Amavi;24.0;27;1.12;21;1;2;0.08;2;0
77;Thierry Ambrose;6.1;23;3.78;17;4;0;0.00;0;0
78;Kelvin Amian;18.1;11;0.61;10;0;1;0.06;1;0
79;Nadiem Amiri;20.6;89;4.31;57;6;9;0.44;8;0
80;Ethan Ampadu;0.9;0;0.00;0;0;0;0.00;0;0
81;Opoku Ampomah;5.6;17;3.06;11;4;0;0.00;0;0
82;Sofyan Amrabat;32.4;75;2.31;63;5;5;0.15;4;0
83;Joachim Andersen;17.0;12;0.71;12;0;0;0.00;0;0
84;Djavan Anderson;1.9;2;1.08;2;0;0;0.00;0;0
85;Felipe Anderson;16.6;58;3.49;44;5;8;0.48;7;1
86;Sebastian Andersson;29.8;48;1.61;35;4;9;0.30;2;2
87;Florin Andone;0.8;1;1.23;1;0;0;0.00;0;0
88;Benjamin André;22.8;43;1.88;34;3;5;0.22;4;0
89;Lorenzo Andrenacci;5.9;0;0.00;0;0;0;0.00;0;0
90;Robert Andrich;28.6;79;2.76;54;4;6;0.21;5;0
91;Victorien Angban;11.4;11;0.96;10;0;0;0.00;0;0
92;Miguel Ángel Guerrero;8.8;18;2.05;14;1;2;0.23;1;0
93;Miguel Ángel Moyá;13.0;0;0.00;0;0;0;0.00;0;0
94;José Ángel;26.2;51;1.94;35;0;5;0.19;4;0
95;Angeliño;4.7;14;2.98;13;1;0;0.00;0;0
96;Angeliño;12.2;39;3.21;24;4;5;0.41;3;1
97;Faustino Anjorin;0.2;0;0.00;0;0;0;0.00;0;0
98;Peter Ankersen;11.8;21;1.78;17;3;1;0.08;1;0
99;Cristian Ansaldi;19.6;58;2.95;42;5;8;0.41;6;2
100;Janis Antiste;0.1;0;0.00;0;0;0;0.00;0;0
101;Michail Antonio;19.6;59;3.00;31;15;7;0.36;2;2
102;Antoñito;11.4;19;1.66;16;0;0;0.00;0;0
103;Mirko Antonucci;0.9;2;2.20;1;0;0;0.00;0;0
104;Vitorino Antunes;0.1;0;0.00;0;0;0;0.00;0;0
105;Christopher Antwi-Adjei;27.4;80;2.91;53;9;5;0.18;3;1
106;Anuar;2.1;2;0.95;2;0;0;0.00;0;0
107;Houssem Aouar;21.7;69;3.17;45;8;10;0.46;9;0
108;Adil Aouchiche;0.7;1;1.41;1;0;0;0.00;0;0
109;Dennis Appiah;17.8;18;1.01;13;0;0;0.00;0;0
110;Mauro Arambarri;34.1;37;1.09;19;2;4;0.12;3;0
111;Guilherme Arana;0.9;2;2.25;2;0;0;0.00;0;0
112;Charles Aránguiz;23.5;43;1.83;38;0;5;0.21;4;0
113;Luiz Araújo;9.2;31;3.37;16;8;2;0.22;1;0
114;Néstor Araujo;32.1;7;0.22;4;1;3;0.09;2;0
115;Ronald Araújo;2.6;0;0.00;0;0;0;0.00;0;0
116;Anaitz Arbilla;22.3;20;0.90;15;0;2;0.09;2;0
117;Alphonse Areola;4.0;0;0.00;0;0;0;0.00;0;0
118;Alphonse Areola;3.0;0;0.00;0;0;0;0.00;0;0
119;Santiago Arias;12.0;21;1.76;18;0;2;0.17;2;0
120;Nicolò Armini;0.0;0;0.00;0;0;0;0.00;0;0
121;Stuart Armstrong;19.1;50;2.62;37;4;9;0.47;5;1
122;José Arnaiz;8.8;15;1.71;10;0;2;0.23;1;0
123;José Arnaiz;3.7;14;3.74;8;3;0;0.00;0;0
124;Maximilian Arnold;31.3;121;3.86;51;4;13;0.41;5;0
125;Kepa Arrizabalaga;33.0;1;0.03;0;0;0;0.00;0;0
126;Kwadwo Asamoah;7.1;16;2.25;16;0;3;0.42;3;0
127;Santiago Ascacíbar;7.0;4;0.57;4;0;1;0.14;1;0
128;Sergio Asenjo;34.0;3;0.09;2;0;1;0.03;1;0
129;Marco Asensio;3.7;11;2.95;8;2;1;0.27;1;0
130;Kristoffer Askildsen;0.8;5;5.92;3;2;0;0.00;0;0
131;Iago Aspas;36.2;107;2.95;76;10;12;0.33;6;4
132;Roger Assalé;5.9;19;3.22;13;1;3;0.51;1;0
133;Miguel Atienza;0.3;1;3.00;0;0;0;0.00;0;0
134;Christian Atsu;8.3;23;2.76;17;2;3;0.36;2;0
135;Youcef Attal;11.1;32;2.87;18;9;2;0.18;1;0
136;Pierre-Emerick Aubameyang;34.8;56;1.61;38;7;10;0.29;6;0
137;Emil Audero;36.0;2;0.06;2;0;0;0.00;0;0
138;Tommaso Augello;12.6;40;3.17;35;2;3;0.24;3;0
139;Jean-Kévin Augustin;3.0;7;2.37;2;1;2;0.68;0;0
140;Ludwig Augustinsson;10.3;20;1.95;15;0;1;0.10;1;0
141;Serge Aurier;30.0;49;1.63;43;2;6;0.20;4;1
142;Mathias Autret;13.6;57;4.20;36;2;6;0.44;5;0
143;Ezequiel Ávila;17.7;50;2.83;29;7;7;0.40;3;1
144;Javier Avilés;2.0;6;2.93;5;1;2;0.98;1;1
145;Chidozie Awaziem;22.2;10;0.45;8;0;0;0.00;0;0
146;Taiwo Awoniyi;5.4;12;2.24;10;2;0;0.00;0;0
147;Florian Ayé;15.3;30;1.96;16;4;1;0.07;0;0
148;Jordan Ayew;35.0;68;1.94;43;11;7;0.20;3;3
149;Kaan Ayhan;30.3;31;1.02;27;0;3;0.10;3;0
150;Ramon Azeez;15.1;17;1.12;11;0;1;0.07;1;0
151;César Azpilicueta;35.9;80;2.23;71;1;7;0.20;6;0
152;Ludovic Baal;9.2;20;2.18;17;1;1;0.11;1;0
153;Iddrisu Baba;32.3;25;0.78;24;0;1;0.03;1;0
154;Khouma Babacar;15.8;46;2.91;27;6;5;0.32;0;1
155;Carlos Bacca;7.6;12;1.57;7;3;2;0.26;1;0
156;Milan Badelj;17.6;44;2.50;36;2;1;0.06;1;0
157;Matthias Bader;0.1;0;0.00;0;0;0;0.00;0;0
158;Bastian Badu;0.1;0;0.00;0;0;0;0.00;0;0
159;Alejandro Baena;0.2;1;6.00;1;0;0;0.00;0;0
160;Stéphane Bahoken;10.1;21;2.08;16;0;3;0.30;2;0
161;Daniel Baier;21.6;33;1.53;27;1;4;0.19;3;0
162;Leon Bailey;12.1;41;3.39;22;3;8;0.66;4;0
163;Eric Bailly;1.7;1;0.60;1;0;0;0.00;0;0
164;Dénys Bain;14.1;4;0.28;4;0;0;0.00;0;0
165;Leighton Baines;4.5;12;2.67;8;0;0;0.00;0;0
166;Stefan Bajic;1.0;0;0.00;0;0;0;0.00;0;0
167;Tiemoué Bakayoko;19.1;30;1.57;18;3;3;0.16;2;1
168;Lewis Baker;6.1;15;2.48;7;2;1;0.17;1;0
169;Mitchel Bakker;1.0;1;1.00;1;0;0;0.00;0;0
170;Ridle Baku;26.1;65;2.49;51;3;10;0.38;9;0
171;Fabián Balbuena;13.1;4;0.31;3;0;0;0.00;0;0
172;Keita Baldé;9.5;22;2.31;15;2;5;0.52;3;0
173;George Baldock;38.0;65;1.71;52;6;6;0.16;4;1
174;Gareth Bale;12.1;33;2.73;21;5;7;0.58;6;0
175;Mikel Balenziaga;6.3;2;0.32;2;0;0;0.00;0;0
176;Leonardo Balerdi;1.5;0;0.00;0;0;0;0.00;0;0
177;Marco Ballarini;0.0;0;0.00;0;0;0;0.00;0;0
178;Fodé Ballo-Touré;18.7;27;1.45;17;3;0;0.00;0;0
179;Florent Balmont;4.5;9;2.02;5;0;0;0.00;0;0
180;Mario Balotelli;15.6;33;2.12;17;2;1;0.06;1;0
181;Abdoulaye Bamba;6.2;3;0.49;3;0;0;0.00;0;0
182;Jonathan Bamba;21.5;77;3.58;45;8;7;0.33;5;0
183;Éver Banega;27.5;116;4.22;67;3;12;0.44;7;1
184;Mattia Bani;24.5;8;0.33;8;0;1;0.04;1;0
185;Antonín Barák;2.2;6;2.78;5;0;0;0.00;0;0
186;Antonín Barák;15.2;42;2.76;38;1;5;0.33;4;1
187;Federico Barba;5.0;3;0.60;2;0;1;0.20;1;0
188;Danilo Barbosa;12.5;18;1.44;16;0;1;0.08;1;0
189;Melvin Bard;0.5;2;4.00;2;0;0;0.00;0;0
190;Enis Bardhi;23.5;68;2.89;40;7;10;0.43;4;2
191;Phil Bardsley;21.0;20;0.95;11;0;1;0.05;0;0
192;Nicolò Barella;22.4;55;2.46;47;3;5;0.22;4;0
193;Philipp Bargfrede;6.5;5;0.77;5;0;1;0.15;1;0
194;Antonino Barillà;18.8;22;1.17;16;0;4;0.21;3;0
195;Kike Barja;3.5;10;2.88;8;1;2;0.58;2;0
196;Ross Barkley;12.3;47;3.83;31;6;5;0.41;4;0
197;Aymen Barkok;0.9;0;0.00;0;0;0;0.00;0;0
198;Ashley Barnes;15.0;21;1.40;12;1;2;0.13;0;0
199;Harvey Barnes;23.1;77;3.33;59;8;15;0.65;12;2
200;Antonio Barragán;7.1;19;2.67;16;2;3;0.42;2;1
201;Antonio Barreca;12.2;14;1.15;10;0;1;0.08;1;0
202;Leandro Barreiro Martins;10.4;14;1.34;12;0;3;0.29;3;0
203;Ander Barrenetxea;4.9;19;3.87;17;2;0;0.00;0;0
204;Édgar Barreto;1.0;2;2.00;1;0;0;0.00;0;0
205;Musa Barrow;15.0;81;5.38;48;16;6;0.40;4;1
206;Musa Barrow;2.1;12;5.68;7;2;2;0.95;2;0
207;Fin Bartels;3.8;11;2.91;10;0;0;0.00;0;0
208;Marc Bartra;28.0;12;0.43;10;0;1;0.04;0;0
209;Daniele Baselli;14.2;29;2.04;18;0;2;0.14;1;0
210;Chris Basham;36.0;25;0.69;22;2;2;0.06;2;0
211;Toma Bašić;11.0;33;3.00;19;2;4;0.36;1;0
212;Thomas Basila;4.6;1;0.22;1;0;0;0.00;0;0
213;Gil Bastião Dias;4.0;14;3.54;9;1;3;0.76;2;0
214;Gil Bastião Dias;11.7;31;2.64;18;3;2;0.17;0;0
215;Borja Bastón;0.2;0;0.00;0;0;0;0.00;0;0
216;Alessandro Bastoni;21.3;31;1.45;27;1;2;0.09;2;0
217;Bastos;8.5;7;0.82;3;3;0;0.00;0;0
218;Oliver Batista-Meier;0.1;0;0.00;0;0;0;0.00;0;0
219;Michy Batshuayi;2.7;7;2.64;5;1;3;1.13;2;0
220;Cristian Battocchio;15.5;32;2.07;17;0;4;0.26;1;0
221;Oliver Baumann;30.0;3;0.10;3;0;0;0.00;0;0
222;Julian Baumgartlinger;19.9;32;1.61;28;0;4;0.20;4;0
223;Christoph Baumgartner;16.6;52;3.13;32;5;4;0.24;1;0
224;Noah Joel Sarenren Bazee;4.2;7;1.65;4;2;1;0.24;0;1
225;Ihlas Bebou;23.4;58;2.48;40;7;7;0.30;2;1
226;Rodrigo Becão;24.6;10;0.41;6;0;2;0.08;1;0
227;Sheraldo Becker;6.0;15;2.50;11;3;3;0.50;3;0
228;Timo Becker;3.7;8;2.14;7;1;0;0.00;0;0
229;Jan Bednarek;34.0;13;0.38;11;0;1;0.03;0;0
230;Asmir Begović;1.4;0;0.00;0;0;0;0.00;0;0
231;Valon Behrami;12.3;11;0.89;7;0;0;0.00;0;0
232;Maximilian Beier;1.2;1;0.83;1;0;0;0.00;0;0
233;Gaëtan Belaud;6.4;4;0.62;4;0;0;0.00;0;0
234;Ishak Belfodil;3.0;11;3.68;8;2;0;0.00;0;0
235;Haris Belkebla;20.2;22;1.09;18;0;3;0.15;2;0
236;Raoul Bellanova;0.7;0;0.00;0;0;0;0.00;0;0
237;Raoul Bellanova;0.2;0;0.00;0;0;0;0.00;0;0
238;Karim Bellarabi;15.8;48;3.03;34;5;8;0.51;6;1
239;Jean-Ricner Bellegarde;16.6;47;2.83;38;1;5;0.30;4;0
240;Héctor Bellerín;12.9;14;1.09;11;2;0;0.00;0;0
241;Andrea Belotti;33.4;100;2.99;62;9;12;0.36;6;1
242;Fran Beltrán;20.3;29;1.43;23;0;0;0.00;0;0
243;Sami Ben Amar;0.2;0;0.00;0;0;0;0.00;0;0
244;Hatem Ben Arfa;1.8;3;1.70;2;1;0;0.00;0;0
245;Wissam Ben Yedder;24.0;89;3.70;68;10;13;0.54;6;3
246;Marco Benassi;10.9;27;2.48;25;0;2;0.18;1;0
247;Cristian Benavente;3.9;11;2.84;8;0;1;0.26;1;0
248;Lars Bender;15.3;28;1.84;22;0;2;0.13;2;0
249;Sven Bender;30.3;13;0.43;11;0;2;0.07;2;0
250;Darío Benedetto;23.3;38;1.63;28;2;6;0.26;1;1
251;László Bénes;10.0;50;5.01;27;1;6;0.60;2;0
252;Walter Benítez;26.0;2;0.08;2;0;0;0.00;0;0
253;Loris Benito;21.1;25;1.19;20;0;2;0.09;2;0
254;Bilal Benkhedim;1.5;5;3.41;4;0;0;0.00;0;0
255;Ismaël Bennacer;27.6;68;2.46;52;1;4;0.14;3;0
256;Ryan Bennett;6.7;5;0.74;4;0;1;0.15;0;0
257;Ryan Bennett;3.7;2;0.54;2;0;0;0.00;0;0
258;Keanen Bennetts;0.0;0;0.00;0;0;0;0.00;0;0
259;Yassine Benrahou;1.9;10;5.36;6;0;1;0.54;0;0
260;Yassine Benrahou;8.5;36;4.25;14;1;5;0.59;1;0
261;Ramy Bensebaini;16.1;23;1.43;17;1;5;0.31;4;0
262;Nabil Bentaleb;8.3;11;1.32;9;0;0;0.00;0;0
263;Rodrigo Bentancur;24.4;76;3.11;53;2;10;0.41;5;1
264;Christian Benteke;14.0;39;2.78;24;5;6;0.43;5;1
265;Romario Benzar;1.1;3;2.78;3;0;0;0.00;0;0
266;Karim Benzema;34.9;118;3.38;104;11;17;0.49;15;2
267;Yassine Benzia;1.9;5;2.60;4;1;0;0.00;0;0
268;Domenico Berardi;27.7;117;4.22;73;7;14;0.51;9;1
269;Yuri Berchiche;31.7;56;1.77;44;3;3;0.09;2;0
270;Álex Berenguer;20.3;77;3.80;41;15;9;0.44;4;4
271;Bartosz Bereszyński;26.7;29;1.09;24;0;2;0.07;2;0
272;Jóhann Berg Guðmundsson;6.9;23;3.33;17;1;3;0.43;2;0
273;Markel Bergara;0.8;1;1.25;1;0;0;0.00;0;0
274;Sander Berge;10.5;7;0.67;6;1;2;0.19;1;1
275;Steven Bergwijn;7.8;26;3.32;22;2;1;0.13;1;0
276;Robert Berić;4.6;3;0.65;3;0;0;0.00;0;0
277;Etrit Berisha;26.0;4;0.15;3;0;0;0.00;0;0
278;Valon Berisha;10.5;19;1.82;12;0;1;0.10;1;0
279;Valon Berisha;0.4;0;0.00;0;0;0;0.00;0;0
280;Sergio Bermejo;0.1;0;0.00;0;0;0;0.00;0;0
281;Bernard;14.2;50;3.52;39;5;5;0.35;3;2
282;Federico Bernardeschi;17.5;62;3.55;42;3;1;0.06;1;0
283;Bernardo;7.5;10;1.33;9;0;0;0.00;0;0
284;Paul Bernardoni;24.5;4;0.16;2;0;1;0.04;0;0
285;Juan Bernat;15.4;25;1.62;22;0;6;0.39;4;0
286;Dimitry Bertaud;2.2;0;0.00;0;0;0;0.00;0;0
287;Andrea Bertolacci;5.9;13;2.19;9;1;1;0.17;0;0
288;Ryan Bertrand;30.5;62;2.04;45;0;1;0.03;0;0
289;Muhamed Bešić;2.8;3;1.08;3;0;0;0.00;0;0
290;Louis Beyer;1.2;1;0.82;0;0;0;0.00;0;0
291;Ermin Bičakčić;13.1;7;0.54;7;0;0;0.00;0;0
292;Pedro Bigas;19.7;9;0.46;8;0;0;0.00;0;0
293;Lucas Biglia;7.6;12;1.58;10;0;1;0.13;1;0
294;El Bilal Touré;5.0;7;1.39;4;0;2;0.40;0;0
295;Philip Billing;28.1;45;1.60;35;2;4;0.14;4;0
296;Cristiano Biraghi;17.5;57;3.26;38;3;12;0.69;10;1
297;Davide Biraschi;21.9;22;1.00;14;1;3;0.14;2;0
298;Valter Birsa;4.8;17;3.56;11;0;1;0.21;0;0
299;Dimitri Bisoli;23.9;46;1.92;36;5;3;0.13;1;1
300;Yves Bissouma;14.0;11;0.79;10;0;0;0.00;0;0
301;Leonardo Bittencourt;0.0;1;30.00;0;0;0;0.00;0;0
302;Leonardo Bittencourt;21.0;75;3.57;48;2;4;0.19;2;0
303;Birkir Bjarnason;8.9;14;1.58;11;0;3;0.34;2;0
304;Rubén Blanco;32.9;1;0.03;1;0;0;0.00;0;0
305;Ludovic Blas;20.5;58;2.83;45;6;4;0.20;3;0
306;Pablo de Blasis;17.8;35;1.96;30;1;4;0.22;3;0
307;Alejandro Blesa;0.0;0;0.00;0;0;0;0.00;0;0
308;Alexis Blin;20.5;17;0.83;12;0;1;0.05;1;0
309;Jérôme Boateng;20.0;13;0.65;11;0;5;0.25;4;0
310;Kevin-Prince Boateng;6.7;19;2.85;17;0;2;0.30;2;0
311;Antonin Bobichon;7.2;17;2.36;12;0;2;0.28;1;0
312;Antonin Bobichon;2.0;5;2.50;3;1;1;0.50;0;1
313;Salvatore Bocchetti;3.4;1;0.30;1;0;0;0.00;0;0
314;Mathieu Bodmer;1.0;3;3.07;3;0;0;0.00;0;0
315;Adam Bodzek;22.4;17;0.76;15;0;1;0.04;1;0
316;Jean-Paul Boëtius;25.2;67;2.66;59;3;10;0.40;8;2
317;Sacha Boey;1.9;3;1.57;2;0;1;0.52;0;0
318;Jeremie Boga;27.9;94;3.37;51;28;13;0.47;4;7
319;Melayro Bogarde;0.6;0;0.00;0;0;0;0.00;0;0
320;Quentin Boisgard;12.7;38;2.98;17;6;3;0.24;1;0
321;Willy Boly;22.0;8;0.36;8;0;1;0.05;1;0
322;Giacomo Bonaventura;14.9;75;5.04;52;8;12;0.81;7;1
323;Federico Bonazzoli;8.3;29;3.51;17;2;2;0.24;1;0
324;Gaëtan Bong;0.7;3;4.58;3;0;0;0.00;0;0
325;Kevin Bonifazi;2.7;1;0.36;1;0;0;0.00;0;0
326;Kevin Bonifazi;13.2;5;0.38;3;1;0;0.00;0;0
327;Federico Bonini;0.1;0;0.00;0;0;0;0.00;0;0
328;Leonardo Bonucci;34.2;28;0.82;27;0;2;0.06;2;0
329;Fabio Borini;9.0;25;2.78;12;3;2;0.22;0;0
330;Fabio Borini;0.8;1;1.29;0;1;0;0.00;0;0
331;Dennis Borkowski;0.1;0;0.00;0;0;0;0.00;0;0
332;Robin Bormuth;2.0;0;0.00;0;0;0;0.00;0;0
333;Sebastiaan Bornauw;27.2;14;0.51;11;1;0;0.00;0;0
334;Brandon Borrello;3.3;3;0.91;2;1;0;0.00;0;0
335;Gabriel Boschilia;1.4;4;2.77;3;0;0;0.00;0;0
336;Denis Bouanga;22.7;61;2.69;27;13;7;0.31;2;0
337;Hicham Boudaoui;5.4;13;2.39;9;1;3;0.55;3;0
338;Ryad Boudebouz;17.7;66;3.72;40;3;5;0.28;3;0
339;Sofiane Boufal;8.5;40;4.71;22;8;3;0.35;2;1
340;Nassim Boujellab;4.7;4;0.86;4;0;0;0.00;0;0
341;Farid Boulaya;9.1;35;3.84;23;3;2;0.22;1;0
342;Yassine Bounou;5.5;2;0.36;1;0;1;0.18;1;0
343;Mehdi Bourabia;10.3;25;2.43;22;1;5;0.49;5;0
344;Benjamin Bourigeaud;21.1;53;2.51;31;2;6;0.28;3;0
345;Bilal Boutobba;0.1;1;18.00;1;0;0;0.00;0;0
346;Jarrod Bowen;10.2;28;2.75;11;3;5;0.49;3;0
347;Dedryck Boyata;27.1;6;0.22;5;0;1;0.04;1;0
348;John Boye;23.5;5;0.21;5;0;0;0.00;0;0
349;Can Bozdogan;2.6;2;0.77;2;0;0;0.00;0;0
350;Domagoj Bradarić;15.8;30;1.90;23;0;2;0.13;2;0
351;Filip Bradarić;7.8;9;1.15;6;0;1;0.13;1;0
352;Robbie Brady;5.0;13;2.58;9;0;3;0.59;3;0
353;Martin Braithwaite;4.5;8;1.77;2;2;1;0.22;0;0
354;Martin Braithwaite;21.5;43;2.00;27;5;5;0.23;5;0
355;Federico Brancolini;0.1;0;0.00;0;0;0;0.00;0;0
356;Brandon;4.5;9;2.00;4;3;1;0.22;1;0
357;Julian Brandt;24.5;77;3.15;60;6;19;0.78;15;2
358;Jarrad Branthwaite;3.3;0;0.00;0;0;0;0.00;0;0
359;Darko Brašanac;24.9;48;1.92;37;1;4;0.16;2;0
360;Claudio Bravo;3.9;0;0.00;0;0;0;0.00;0;0
361;Josip Brekalo;18.6;82;4.42;53;8;7;0.38;5;2
362;Gleison Bremer;25.2;14;0.56;12;0;0;0.00;0;0
363;Marco Brescianini;0.3;0;0.00;0;0;0;0.00;0;0
364;Anthony Briançon;19.3;9;0.47;6;0;0;0.00;0;0
365;Jimmy Briand;16.9;28;1.65;21;1;2;0.12;1;1
366;Yan Brice Eteki;16.7;15;0.90;10;0;2;0.12;1;0
367;Armando Broja;0.1;0;0.00;0;0;0;0.00;0;0
368;Dylan Bronn;9.0;1;0.11;1;0;0;0.00;0;0
369;David Brooks;5.6;9;1.60;6;0;1;0.18;0;0
370;John Brooks;24.7;14;0.57;10;0;1;0.04;0;0
371;Daniel Brosinski;19.0;85;4.48;44;3;4;0.21;0;0
372;Josh Brownhill;8.9;14;1.57;12;1;1;0.11;1;0
373;Marcelo Brozović;30.0;97;3.23;77;2;16;0.53;14;0
374;Gastón Brugman;16.2;28;1.73;20;2;3;0.19;3;0
375;Jeffrey Bruma;9.0;1;0.11;0;0;0;0.00;0;0
376;Jeffrey Bruma;7.5;0;0.00;0;0;0;0.00;0;0
377;Jacob Bruun Larsen;4.3;23;5.29;16;6;2;0.46;2;0
378;Jacob Bruun Larsen;0.8;1;1.32;1;0;1;1.32;1;0
379;Bryan;6.2;23;3.71;14;3;1;0.16;0;0
380;Bryan;0.7;2;2.77;1;1;0;0.00;0;0
381;Lucas Buadés;1.3;1;0.74;0;0;0;0.00;0;0
382;Ante Budimir;30.7;46;1.50;26;2;6;0.20;4;1
383;Emi Buendía;27.4;138;5.04;83;10;9;0.33;5;0
384;Gianluigi Buffon;9.0;2;0.22;2;0;0;0.00;0;0
385;Marius Bülter;25.8;48;1.86;37;10;3;0.12;2;1
386;Esteban Burgos;12.4;4;0.32;4;0;0;0.00;0;0
387;Guido Burgstaller;13.7;27;1.97;19;5;4;0.29;2;1
388;Burgui;0.2;0;0.00;0;0;0;0.00;0;0
389;Jonathan Burkardt;2.8;4;1.42;3;1;0;0.00;0;0
390;Oliver Burke;15.9;16;1.01;12;3;2;0.13;2;0
391;Roman Bürki;30.8;1;0.03;1;0;0;0.00;0;0
392;Dan Burn;32.0;35;1.09;29;1;2;0.06;2;0
393;Patrick Burner;15.9;19;1.19;16;1;2;0.13;2;0
