;Player;CompletedPasses;PassCompRatio;TotDistPass;ProgDistPass
850;Facundo Ferreyra;74;65.5;1004;224
851;Jordan Ferri;603;81.5;11865;3325
852;Oliver Fink;160;60.2;2568;1051
853;Alfreð Finnbogason;147;60.7;2157;495
854;Roberto Firmino;931;79.5;14337;3589
855;Junior Firpo;749;89.8;11466;3038
856;John Fleck;854;73.4;15206;4966
857;Mark Flekken;305;70.1;10092;6118
858;Sergio Floccari;206;78.9;3155;383
859;Alessandro Florenzi;552;81.8;10878;4404
860;Alessandro Florenzi;360;75.5;7132;2379
861;Phil Foden;431;84.8;6922;1357
862;Mamadou Fofana;645;87.4;13129;3772
863;Seko Fofana;944;87.6;17244;3340
864;Wesley Fofana;536;83.5;10878;3208
865;Youssouf Fofana;381;86.0;7117;1762
866;Youssouf Fofana;306;85.7;6096;1508
867;Thomas Foket;1054;80.6;19557;6427
868;Lamine Fomba;301;70.3;5137;1132
869;José Fonte;1254;88.4;27558;7506
870;Pablo Fornals;680;75.8;10965;3025
871;Emil Forsberg;429;79.7;7022;2065
872;Hernâni Fortes;91;53.2;1706;657
873;Ben Foster;533;44.4;24823;20202
874;Lyle Foster;11;78.6;141;13
875;Timothy Fosu-Mensah;62;84.9;1076;303
876;Dimitri Foulquier;10;76.9;172;63
877;Dimitri Foulquier;281;68.0;4809;2030
878;Juan Foyth;53;88.3;1027;341
879;Gianluca Frabotta;53;86.9;899;354
880;Raphael Framberger;336;66.3;6179;3697
881;Simon Francis;425;78.1;8941;3412
882;Mike Frantz;97;72.9;1727;519
883;Ryan Fraser;648;68.2;11075;4288
884;Fred;1463;85.4;29437;7269
885;Ryan Fredericks;795;72.5;12820;5415
886;Kieron Freeman;2;100.0;28;6
887;Luke Freeman;110;73.3;1582;484
888;Remo Freuler;1465;87.9;24942;6336
889;Marco Friedl;989;76.5;20285;6667
890;Marvin Friedrich;918;78.5;21727;8911
891;Samúel Friðjónsson;87;84.5;1612;318
892;Jorge de Frutos;15;88.2;199;56
893;Christian Fuchs;510;81.0;9904;3727
894;Angelo Fulgini;741;79.7;12513;3791
895;Niclas Füllkrug;79;67.5;1246;161
896;Ramiro Funes Mori;224;83.0;5213;1484
897;Daniel Fuzato;30;68.2;752;353
898;Matteo Gabbia;386;89.1;8572;2644
899;Manolo Gabbiadini;377;64.9;5686;1470
900;Gabriel;751;76.7;19653;12298
901;Ruben Gabrielsen;234;84.2;4792;1859
902;Mijat Gaćinović;260;70.5;4739;1157
903;Luca Gagliano;9;75.0;207;44
904;Roberto Gagliardini;798;85.2;14319;4081
905;Riccardo Gagliolo;1020;75.2;21739;9711
906;Nicolás Gaitán;17;60.7;306;44
907;Marvin Gakpa;190;73.9;3772;858
908;Enric Gallego;148;57.4;1985;411
909;Enric Gallego;26;54.2;353;102
910;Kévin Gameiro;331;75.9;4695;563
911;Fran Gámez;638;74.0;11807;4663
912;Idrissa Gana Gueye;1468;92.3;24184;6455
913;Ignatius Ganago;283;77.3;4490;976
914;Ezequiel Garay;759;89.0;17202;4497
915;Dani García;1225;83.3;26372;5815
916;David García;861;74.2;20513;7944
917;Eric García;672;95.3;13839;3727
918;Javi García;159;83.2;2983;581
919;Manu García;521;73.4;9535;2300
920;Raúl García;310;68.3;5945;2827
921;Raúl García;89;65.4;1867;883
922;Raúl García;557;58.5;8973;2681
923;Rubén García;719;70.4;13702;4510
924;Unai García;155;72.1;3610;1306
925;Víctor García;24;66.7;428;149
926;James Garner;15;100.0;253;44
927;Manuel Garrido;22;73.3;311;20
928;Mario Gaspar;867;79.4;15305;6866
929;Daniele Gastaldello;123;84.8;2809;882
930;Dwight Gayle;110;73.3;1683;222
931;Paulo Gazzaniga;319;61.8;9681;6260
932;Jean-Philippe Gbamin;50;74.6;778;184
933;Yann Gboho;38;73.1;525;128
934;David de Gea;726;77.7;18869;11023
935;Theodor Gebre Selassie;1118;83.6;19319;7571
936;Dennis Geiger;516;83.1;9990;2695
937;Jérémy Gélin;472;88.6;11520;3733
938;Christian Gentner;755;73.0;13013;3860
939;Yannick Gerhardt;302;77.4;5537;1414
940;Valère Germain;330;75.0;4972;1029
941;Gervinho;402;78.5;6253;1480
942;Anwar El Ghazi;402;65.4;6817;1953
943;Rachid Ghezzal;406;82.0;7409;1867
944;Andrea Ghezzi;0;;0;0
945;Paolo Ghiglione;643;71.4;11937;5307
946;Andrea Ghion;48;98.0;712;158
947;Saman Ghoddos;73;76.0;1440;508
948;Faouzi Ghoulam;240;80.0;4163;1361
949;Morgan Gibbs-White;66;80.5;1160;292
950;Niko Gießelmann;858;75.6;19263;7972
951;Rafał Gikiewicz;857;63.2;36066;27017
952;José Antonio Martínez Gil;366;75.0;9139;2898
953;Billy Gilmour;151;89.3;2892;604
954;Daniel Ginczek;132;66.3;2108;368
955;Matthias Ginter;1852;85.9;41890;14589
956;Andrei Girotto;1024;86.9;21050;7252
957;Olivier Giroud;207;67.6;2517;295
958;Klaus Gjasula;898;77.8;20347;5858
959;Kamil Glik;968;89.6;22294;5428
960;Serge Gnabry;883;78.3;13874;3223
961;Joris Gnagnon;563;92.1;12508;3224
962;Eddy Gnahoré;665;91.6;11754;2489
963;Ben Godfrey;1413;88.0;30192;8598
964;Diego Godín;935;85.7;19441;6297
965;Akaki Gogia;28;65.1;512;166
966;Mauro Goicoechea;35;54.7;1453;1090
967;Edoardo Goldaniga;325;76.5;7503;3296
968;Benjamin Goller;58;66.7;741;184
969;Pierluigi Gollini;725;74.9;23656;13941
970;Aleksandr Golovin;871;76.6;16127;4734
971;André Gomes;719;83.7;16373;4192
972;Angel Gomes;11;84.6;235;83
973;Ibai Gómez;202;63.3;3386;1245
974;Joe Gomez;1743;88.9;39368;10458
975;Maxi Gómez;255;64.9;4428;902
976;Moi Gómez;921;81.1;15921;3848
977;Papu Gómez;1598;79.4;29825;8826
978;Sergi Gómez;434;89.3;9924;2609
979;Alfred Gomis;518;70.9;17088;11479
980;Maxime Gonalons;482;83.2;10754;2761
981;Mathieu Goncalves;109;77.3;2090;758
982;Jérôme Gondorf;30;76.9;507;134
983;Álvaro González;753;88.7;16324;4891
984;Bruno González;51;83.6;1251;352
985;Bruno González;170;84.6;4136;1093
986;Édgar González;310;89.3;6145;1168
987;Gonzalo;5;100.0;117;9
988;Anthony Gordon;96;77.4;1724;454
989;Leon Goretzka;799;86.5;14795;2976
990;Andoni Gorosabel;343;76.9;5819;2016
991;Robin Gosens;1179;78.4;19069;7355
992;Dan Gosling;405;79.4;6653;1624
993;Mario Götze;238;84.1;3111;748
994;Prince-Désir Gouano;86;86.9;2069;643
995;Amine Gouiri;0;;0;0
996;Jeffrey Gouweleeuw;578;76.6;14085;5443
997;Max Gradel;391;65.8;5942;2231
998;Samuel Grandsir;391;72.8;6013;1471
999;Esteban Granero;161;71.9;2975;835
1000;Alberto Grassi;217;84.8;3814;1087
1001;Andre Gray;102;65.8;1523;340
1002;Demarai Gray;271;82.9;4329;850
1003;Jack Grealish;1217;79.1;23156;6423
1004;Mason Greenwood;416;85.2;6404;1161
1005;Michael Gregoritsch;65;67.0;1088;239
1006;Michael Gregoritsch;141;66.2;1908;476
1007;Clément Grenier;334;74.2;6357;1841
1008;Antoine Griezmann;935;81.5;14373;2499
1009;Vincenzo Grifo;11;84.6;271;155
1010;Vincenzo Grifo;553;72.4;10899;3542
1011;Florian Grillitsch;1577;88.8;33358;7544
1012;Jérémy Grimm;0;;0;0
1013;Arnaut Groeneveld;181;79.7;3152;765
1014;Christian Groß;411;89.2;8610;2201
1015;Pascal Groß;762;74.1;14866;4613
1016;Carlos Gruezo;255;82.5;5797;1655
1017;Marko Grujić;883;80.6;17038;4101
1018;Vicente Guaita;591;56.1;21587;15300
1019;Andrés Guardado;876;84.1;17717;3767
1020;Sergi Guardiola;455;68.1;7013;1481
1021;Nemanja Gudelj;614;90.6;11781;2332
1022;Gonçalo Guedes;363;75.9;6051;1402
1023;Mattéo Guendouzi;1018;89.0;20105;5471
1024;Raphaël Guerreiro;1887;88.0;29729;10838
1025;Adrián Guerrero;60;74.1;956;276
1026;Ander Guevara;585;86.0;10880;2723
1027;Babacar Guèye;22;84.6;257;49
1028;John Guidetti;22;62.9;350;107
1029;Josuha Guilavogui;807;81.8;17549;4927
1030;Frederic Guilbert;687;67.0;13282;5552
1031;Hugo Guillamón;287;91.1;6645;2146
1032;Bruno Guimarães;175;90.2;3561;767
1033;Sehrou Guirassy;455;73.2;6377;1032
1034;Rafik Guitane;7;63.6;115;13
1035;Péter Gulácsi;1015;80.0;27353;15246
1036;Manuel Gulde;703;85.9;15993;4938
1037;Sinan Gümüş;28;87.5;359;31
1038;İlkay Gündoğan;1779;91.0;33411;6507
1039;Angus Gunn;111;43.4;4106;2945
1040;Christian Günter;1159;70.5;22821;10405
1041;Koray Günter;1184;86.9;25410;8320
1042;Régis Gurtner;520;63.3;20131;13975
1043;Luiz Gustavo;88;92.6;1647;437
1044;Ismael Gutiérrez;24;88.9;369;31
1045;Jonathan de Guzmán;79;76.0;1456;379
1046;Janik Haberer;741;84.0;14439;2581
1047;Alexander Hack;320;77.7;7448;3066
1048;Munir El Haddadi;348;76.7;5432;1274
1049;André Hahn;102;55.7;1777;486
1050;Amadou Haidara;484;86.7;7577;2349
1051;Achraf Hakimi;2042;84.3;31904;10224
1052;Erling Håland;174;73.7;2327;449
1053;Sébastien Haller;522;68.1;7370;1480
1054;Marcel Halstenberg;1605;84.1;30109;9791
1055;Romain Hamouma;183;67.3;3165;885
1056;Samir Handanović;966;86.7;24649;12985
1057;Grant Hanley;538;84.2;11537;3189
1058;Lukáš Haraslín;97;74.0;1543;303
1059;Amine Harit;754;82.9;12244;3372
1060;Martin Harnik;4;100.0;37;0
1061;Makoto Hasebe;1210;88.1;27587;8322
1062;Hans Hateboer;1219;84.8;18263;6090
1063;Kortney Hause;591;74.9;12375;4892
1064;Kai Havertz;1207;85.2;18815;3725
1065;Isaac Hayden;630;75.6;10888;2509
1066;Eden Hazard;522;85.4;8034;1771
1067;Thorgan Hazard;961;76.8;15365;3998
1068;Tom Heaton;350;57.0;12850;9473
1069;Jonas Hector;1015;79.9;21710;5297
1070;Dominique Heintz;1113;84.3;26784;8676
1071;Dean Henderson;424;41.0;21127;17079
1072;Jordan Henderson;1582;84.2;32654;7684
1073;Liam Henderson;43;66.2;705;278
1074;Jeff Hendrick;420;73.0;6880;1712
1075;Wayne Hennessey;44;42.7;2365;2024
1076;Rouwen Hennings;430;69.5;6969;1219
1077;Benjamin Henrichs;425;80.6;7980;2793
1078;Dalbert Henrique;972;75.3;18219;7340
1079;Christophe Hérelle;793;89.8;17062;5210
1080;Mario Hermoso;511;79.6;11693;4763
1081;Aridane Hernández;737;79.7;17878;5285
1082;Javier Hernández;19;86.4;314;50
1083;Javier Hernández;58;73.4;766;77
1084;Juan Hernández;14;60.9;205;91
1085;Lucas Hernández;723;88.3;14073;4462
1086;Onel Hernández;248;74.0;3456;637
1087;Theo Hernández;1684;83.4;28699;9321
1088;Hernani;782;75.0;17157;4969
1089;Ander Herrera;466;92.6;7483;1724
1090;Héctor Herrera;671;86.4;11474;4164
1091;Sergio Herrera;292;47.7;13464;10530
1092;Yangel Herrera;714;75.8;13566;4100
1093;Iago Herrerín;101;59.8;3877;2699
1094;Patrick Herrmann;375;70.9;6177;1811
1095;Pablo Hervías;280;69.7;4544;1175
1096;Son Heung-min;705;79.9;11213;2547
1097;Gonzalo Higuaín;539;83.3;9845;1249
1098;Vitorino Hilton;1093;82.7;29670;10665
1099;Martin Hinteregger;1280;77.5;28579;13123
1100;George Hirst;5;62.5;48;16
1101;Marwin Hitz;84;84.0;2280;1016
1102;André Hoffmann;1215;91.0;28881;7586
1103;Nicolas Höfler;1230;83.8;23437;6102
1104;Jonas Hofmann;702;79.6;14247;3954
1105;Jonas Hofmann;1;50.0;7;5
1106;Marco Höger;343;82.1;7215;2321
1107;Rob Holding;292;86.4;6532;1724
1108;José Holebas;431;70.9;8312;3866
1109;Lucas Höler;452;69.9;6313;945
1110;Mason Holgate;855;86.3;20925;6091
1111;Nathan Holland;11;78.6;137;49
1112;Gerrit Holtmann;288;72.4;4455;1890
1113;Josué Homawoo;17;70.8;284;160
1114;Franck Honorat;242;61.9;4083;1713
1115;Luca Horn;8;100.0;133;125
1116;Timo Horn;867;72.9;29556;19782
1117;Krisztofer Horváth;12;75.0;229;45
1118;Conor Hourihane;542;75.2;10353;3235
1119;Lukáš Hrádecký;1220;76.4;35730;21089
1120;Benjamin Hübner;1364;86.9;27908;12620
1121;Florian Hübner;231;83.1;4872;1494
1122;Callum Hudson-Odoi;384;80.7;7208;1491
1123;Will Hughes;677;73.6;10613;3728
1124;Mats Hummels;1974;88.4;46777;14040
1125;Uwe Hünemeier;698;86.9;16781;5885
1126;Adrien Hunou;247;77.9;3710;750
1127;Jannik Huth;202;79.5;5457;2539
1128;Elseid Hysaj;1098;84.5;18329;6483
1129;Suk Hyun-jun;28;49.1;349;132
1130;Pierre Højbjerg;1413;78.1;26873;6921
1131;Simone Iacoponi;1171;85.2;30136;9058
1132;Iago;176;61.1;3060;1307
1133;Robert Ibáñez;139;80.3;1998;549
1134;Roger Ibanez;295;90.5;6090;2188
1135;Jordon Ibe;17;77.3;329;144
1136;Vedad Ibišević;171;71.0;2955;692
1137;Vicente Iborra;1247;86.2;25926;5676
1138;Didier Ibrahim Ndong;1256;87.9;24802;6136
1139;Zlatan Ibrahimović;434;69.8;6752;1730
1140;Mauro Icardi;149;83.7;2128;534
1141;Adam Idah;37;77.1;495;81
1142;Odion Ighalo;21;91.3;279;22
1143;Borja Iglesias;238;74.6;3461;540
1144;Igor;560;84.0;11259;3911
1145;Igor;302;88.3;5922;2046
1146;Kelechi Iheanacho;217;81.0;3124;629
1147;Luc Ihorst;1;25.0;7;0
1148;Jonathan Ikone;544;77.1;9070;2036
1149;Yun Il-lok;41;75.9;617;137
1150;Josip Iličić;773;80.2;13734;3922
1151;Asier Illarramendi;168;91.8;3164;1061
1152;Stefan Ilsanker;328;90.6;6992;2668
1153;Stefan Ilsanker;436;80.7;9195;2989
1154;Giannelli Imbula;57;86.4;988;173
1155;Ciro Immobile;715;77.0;10806;2221
1156;Edmilson Indjai;10;83.3;161;26
1157;Roberto Inglese;102;66.7;1647;230
1158;Danny Ings;437;64.5;6768;1798
1159;Marcus Ingvartsen;342;68.1;5132;1063
1160;Lorenzo Insigne;1450;81.3;24253;5561
1161;Takashi Inui;436;73.8;6951;1449
1162;Artur Ioniță;599;84.6;9565;2318
1163;Alexander Isak;222;73.0;3338;579
1164;Isco;735;85.9;12032;2853
1165;Nicolas Isimat-Mirin;424;85.7;9114;2661
1166;Jakub Iskra;43;86.0;747;274
1167;Gian-Luca Itter;25;92.6;504;146
1168;Ander Iturraspe;53;75.7;898;256
1169;Alex Iwobi;462;75.2;9222;2941
1170;Armando Izzo;1102;80.1;23159;7799
1171;Jacobo;26;68.4;445;153
1172;Phil Jagielka;59;80.8;1223;349
1173;Filip Jagiełło;268;85.1;4600;1018
1174;Alireza Jahanbakhsh;84;60.0;1170;377
1175;Mato Jajalo;842;81.9;16121;4254
1176;Ismail Jakobs;389;66.0;6617;2031
1177;Christophe Jallet;433;77.9;8045;3720
1178;Daniel James;586;73.0;9010;2145
1179;Matty James;6;100.0;87;21
1180;Reece James;1055;83.2;19372;5746
1181;Marko Janković;45;76.3;670;139
1182;Jakub Jankto;551;71.1;9437;2802
1183;Daryl Janmaat;257;75.4;4293;1700
1184;Laurent Jans;645;75.1;12809;6032
1185;Tony Jantschke;538;83.3;11907;4543
1186;Adnan Januzaj;323;65.1;6350;2051
1187;Rune Jarstein;658;65.3;24521;17225
1188;Jason;236;58.0;4265;1724
1189;Dennis Jastrzembski;38;71.7;633;181
1190;Corentin Jean;5;55.6;88;22
1191;Benjamin Jeannot;54;79.4;1028;242
1192;Tin Jedvaj;854;76.5;19176;6383
1193;Jemerson;545;85.7;9874;3761
1194;Fredrik Jensen;57;64.8;793;269
1195;Jesé;2;100.0;16;0
1196;Gabriel Jesus;532;87.5;7631;902
1197;Juan Jesus;66;89.2;1249;492
1198;Raúl Jiménez;732;72.5;11852;2723
1199;Joaquín;935;80.4;15558;4559
1200;Joelinton;640;79.9;9494;1702
1201;Ben Johnson;111;68.9;1947;960
1202;Fabian Johnson;89;76.7;1416;514
1203;Curtis Jones;111;86.7;1843;452
1204;Phil Jones;79;88.8;1388;398
1205;Frenkie de Jong;1536;92.5;25880;6035
1206;Luuk de Jong;389;71.6;5635;912
1207;Jony;441;68.9;9161;3090
1208;Joan Jordán;1497;85.7;29877;6692
1209;Bruno Jordão;2;40.0;47;11
1210;Jorginho;1955;88.0;37524;9107
1211;Jesse Joronen;573;67.5;18122;10914
1212;Willian José;406;71.9;6791;1146
1213;Joselu;541;54.4;8574;2354
1214;Jota;73;74.5;1408;625
1215;Diogo Jota;681;79.1;11168;2084
1216;Vukašin Jovanović;403;89.2;8338;2883
1217;Dejan Joveljić;22;78.6;270;11
1218;Stevan Jovetić;138;66.0;2333;714
1219;Luka Jović;111;82.8;1548;200
1220;Juanmi;46;80.7;623;132
1221;David Juncà;115;75.7;2071;739
1222;Hamed Junior Traorè;631;77.6;10358;2841
1223;Lago Junior;526;72.2;7605;2117
1224;Vinicius Júnior;421;77.4;6137;1184
1225;James Justin;650;81.1;10823;3624
1226;Musa Juwara;51;63.8;831;296
1227;Mathias Jørgensen;186;81.9;4006;1103
1228;Ozan Kabak;856;83.6;19579;6543
1229;Christian Kabasele;484;76.1;11100;4142
1230;Abdoul Kader Bamba;571;79.2;8759;2739
1231;Pavel Kadeřábek;970;71.1;16660;6581
1232;Florian Kainz;456;62.4;9983;4288
1233;Gaël Kakuta;592;68.2;9356;3004
1234;Lovre Kalinić;56;47.1;2205;1607
1235;Nikola Kalinić;103;76.3;1493;204
1236;Salomon Kalou;29;65.9;458;188
1237;Samuel Kalu;388;74.0;6653;1627
1238;Daichi Kamada;579;74.9;10747;2647
1239;François Kamano;246;79.4;3969;783
1240;Boubacar Kamara;1130;88.3;23096;7400
1241;Hassane Kamara;896;80.7;16199;4880
1242;Kevin Kampl;458;88.1;7977;1769
1243;Harry Kane;394;66.6;6934;1849
1244;Wilfried Kanga;12;70.6;159;52
1245;Lee Kangin;188;78.7;3175;613
1246;N'Golo Kanté;975;85.5;17338;4168
1247;Stefanos Kapino;25;73.5;855;546
1248;Wilfrid Kaptoum;59;83.1;958;204
1249;Kenan Karaman;224;66.9;3099;527
1250;Yann Karamoh;107;71.8;1710;365
1251;Mamoudou Karamoko;4;57.1;64;26
1252;Florian Kastenmeier;433;68.7;14652;9342
1253;Noah Katterbach;520;70.9;10150;5189
1254;Moise Kean;104;73.2;1438;338
1255;Michael Keane;1167;84.6;27198;8551
1256;Thilo Kehrer;376;93.5;6697;1550
1257;Jules Keita;27;77.1;349;129
1258;Naby Keïta;608;88.9;9688;2389
1259;Yannik Keitel;54;85.7;1125;236
1260;Lloyd Kelly;168;72.7;3672;1369
1261;Martin Kelly;493;73.7;9625;4226
1262;Kenedy;133;66.2;2275;832
1263;Jonjoe Kenny;1180;75.3;23017;10247
1264;Franck Kessié;1531;89.1;28054;6548
1265;Saîf-Eddine Khaoui;41;69.5;629;218
1266;Wahbi Khazri;224;62.7;4577;1148
1267;Rani Khedira;637;72.0;10968;3519
1268;Sami Khedira;275;83.3;4351;932
1269;Kike;327;67.1;4486;733
1270;Luca Kilian;633;90.7;14282;3263
1271;Max Kilman;72;80.0;1391;547
1272;Joshua Kimmich;2440;85.7;51126;15008
1273;Presnel Kimpembe;1061;94.8;20133;5909
1274;Joshua King;362;72.7;5442;1269
1275;Giorgos Kiriakopoulos;961;84.4;16058;6303
1276;Simon Kjær;131;91.6;2913;690
1277;Simon Kjær;608;89.1;13472;4769
1278;Davy Klaassen;1005;77.8;17653;5361
1279;Felix Klaus;150;68.8;2235;614
1280;Ragnar Klavan;1072;90.6;23229;7342
1281;Timm Klose;331;85.1;6617;1809
1282;Lukas Klostermann;1553;86.1;28771;9414
1283;Justin Kluivert;394;81.6;6658;1328
1284;Lukas Klünter;573;69.5;10844;4698
1285;Robin Knoche;790;84.4;18843;5894
1286;Robin Koch;1253;85.5;31223;8909
1287;Giorgi Kochorashvili;0;;0;0
1288;Jonathan Kodjia;19;63.3;309;8
1289;Kenan Kodro;55;64.0;661;101
1290;Dominik Kohr;634;80.6;11129;2909
1291;Koke;1436;82.0;22521;6076
1292;Aleksandar Kolarov;1446;78.8;29136;9514
1293;Sead Kolašinac;869;84.3;14326;4428
1294;Timothée Kolodziejczak;563;78.1;10944;4152
1295;Ghislain Konan;711;79.3;12433;5367
1296;Ibrahima Konaté;303;88.6;5903;1597
1297;Moussa Konaté;87;73.7;1347;198
1298;Geoffrey Kondogbia;945;84.8;19622;4231
1299;Kouadio Koné;317;82.8;5329;1378
1300;Lamine Koné;602;81.8;13848;4316
1301;Moussa Koné;18;81.8;351;34
1302;Youssouf Koné;561;86.6;10575;3344
1303;Ezri Konsa;674;79.0;13926;4931
1304;Pascal Köpke;25;69.4;359;66
1305;Laurent Koscielny;1220;89.5;27022;9847
1306;Filip Kostić;965;59.8;19659;8143
1307;Christian Kouamé;75;72.1;1240;235
1308;Christian Kouamé;182;75.2;2749;497
1309;Nianzou Kouassi;309;92.0;6252;1897
1310;Tomáš Koubek;500;59.5;17792;10506
1311;Kalidou Koulibaly;1521;92.1;31538;11604
1312;Efthimis Koulouris;362;73.0;5120;776
1313;Jules Koundé;1285;86.3;26940;8416
1314;Leonardo Koutris;41;73.2;682;385
1315;Cheikhou Kouyaté;653;75.9;10613;3251
1316;Mateo Kovačić;1666;90.2;32463;7948
1317;Dawid Kownacki;214;68.8;3517;717
1318;İsmail Köybaşı;57;67.9;1056;541
1319;Thomas Kraft;78;60.5;3102;2356
1320;Emil Krafth;316;73.0;5635;2664
1321;Andrej Kramarić;445;80.3;7451;1455
1322;Christoph Kramer;796;85.1;13898;3533
1323;Tom Krauß;5;100.0;94;36
1324;Ladislav Krejčí;533;82.4;9136;3790
1325;Rene Krhin;137;87.8;2752;583
1326;Felix Kroos;129;81.1;2418;793
1327;Toni Kroos;2233;88.9;44640;11749
1328;Tim Krul;1047;67.5;32790;19225
1329;Rade Krunić;197;83.5;3117;940
1330;Lukas Kübler;77;80.2;1858;743
1331;Takefusa Kubo;539;70.5;8493;2565
1332;Juraj Kucka;508;69.7;8909;2916
1333;Dejan Kulusevski;905;78.2;14342;4083
1334;Marash Kumbulla;771;83.8;15790;5169
1335;Pierre Kunde;795;77.8;16350;4427
1336;Jasmin Kurtić;513;75.6;9452;2617
1337;Jasmin Kurtić;681;84.1;13388;3494
1338;Layvin Kurzawa;605;90.2;8685;2974
1339;Dereck Kutesa;112;73.7;1728;540
1340;Ahmed Kutucu;126;71.2;2006;397
1341;Enock Kwateng;476;76.8;8161;3287
1342;Antonino La Gumina;27;87.1;324;6
1343;Andrea La Mantia;80;72.1;1142;192
1344;Gaëtan Laborde;436;66.4;6445;1478
1345;Alexandre Lacazette;387;77.6;5867;1064
1346;Riccardo Ladinetti;59;75.6;1056;294
1347;Alban Lafont;551;62.3;17995;12597
1348;Víctor Laguardia;774;75.4;20218;8928
1349;Jack Lahne;1;100.0;15;0
1350;Konrad Laimer;1067;82.4;18757;5597
1351;Stefan Lainer;1105;70.7;21647;9830
1352;Diego Lainez;89;74.8;1176;308
1353;Kenny Lala;1011;75.0;23512;8329
1354;Adam Lallana;229;84.8;3398;790
1355;Érik Lamela;469;78.7;7270;1418
1356;Tariq Lamptey;12;85.7;235;80
1357;Tariq Lamptey;173;73.6;2905;842
1358;Loïck Landre;304;78.1;6698;1947
1359;Michael Lang;266;81.1;4869;1720
1360;Sebastian Langkamp;167;87.9;3608;951
1361;Henri Lansbury;60;74.1;1315;254
1362;Manuel Lanzini;674;84.5;10959;3117
1363;Gianluca Lapadula;259;77.8;3907;497
1364;Aymeric Laporte;1041;93.4;22480;6784
1365;Danilo Larangeira;985;79.1;23719;8829
1366;Larra;45;58.4;657;126
1367;Gautier Larsonneur;736;71.6;22376;12494
1368;Kevin Lasagna;339;69.3;4891;722
1369;Jamaal Lascelles;668;82.5;14583;3588
1370;Paul Lasne;540;82.4;8994;2286
1371;Toni Lato;168;65.6;2874;1175
1372;Danny Latza;494;80.6;9965;2561
1373;Vincent Laurini;432;80.7;8259;3452
1374;Wesley Lautoa;867;87.7;19292;5653
1375;Diego Laxalt;214;72.1;3424;1197
1376;Diego Laxalt;95;79.8;1799;627
1377;Valentino Lazaro;158;81.4;2664;1051
1378;Valentino Lazaro;152;76.0;2727;992
1379;Darko Lazović;1253;74.9;20547;8574
1380;Manuel Lazzari;845;79.2;13718;3044
1381;Mickaël Le Bihan;18;78.3;243;12
1382;Robin Le Normand;1516;89.4;31910;8059
1383;Damien Le Tallec;797;80.6;15954;5188
1384;James Lea Siliki;324;75.3;6000;1285
1385;Rafael Leão;362;76.1;5996;1227
1386;Adrien Lebeau;3;50.0;39;5
1387;Mathew Leckie;61;71.8;1103;283
1388;Benjamin Lecomte;627;73.9;19802;13268
1389;Pierre Lees-Melou;1025;83.7;19333;5101
1390;Jordan Lefort;400;82.6;8438;3977
1391;Wu Lei;208;65.6;3158;695
1392;Toni Leistner;524;84.1;13345;4806
1393;Moritz Leitner;472;85.4;7844;1737
1394;Lucas Leiva;1002;88.3;19833;5548
1395;Florian Lejeune;136;72.7;2876;1077
1396;Iñigo Lekue;195;68.9;3283;1060
1397;Nicolas Lemaître;22;81.5;492;239
1398;Thomas Lemar;319;78.8;5903;1759
1399;Tim Lemperle;2;100.0;24;8
1400;Clément Lenglet;1989;92.6;41975;13188
1401;Aaron Lennon;92;70.2;1434;347
1402;Bernd Leno;742;74.9;18295;9801
1403;Christopher Lenz;816;71.4;15089;6869
1404;Donovan Léon;28;68.3;921;545
1405;Pedro León;416;58.0;7518;2784
1406;Sergio León;63;58.3;1098;150
1407;Lukas Lerager;494;82.3;7799;2189
1408;Mehdi Léris;170;73.9;2892;878
1409;Jefferson Lerma;1092;79.3;21962;6527
1410;Karlo Letica;202;63.3;6415;4473
1411;Robert Lewandowski;592;75.6;9019;1801
1412;Jamal Lewis;1036;79.3;17191;6342
1413;Aaron Leya Iseka;142;77.6;1881;252
1414;Stephan Lichtsteiner;404;69.2;7245;4199
1415;Dimitri Liénard;810;78.0;18853;4513
1416;Philipp Lienhart;891;87.0;20844;5645
1417;Matthijs de Ligt;1394;91.3;29594;7983
1418;Isaac Lihadji;12;75.0;189;62
1419;Lillo;100;80.6;2164;871
1420;Anderson Lima;25;83.3;426;145
1421;Lucas Lima;121;67.2;2282;856
1422;Anthony Limbombe;36;67.9;527;148
1423;Victor Lindelöf;1764;87.6;35555;11016
1424;Karol Linetty;595;77.8;9994;3045
1425;Jesse Lingard;351;85.8;5155;995
1426;Pol Lirola;979;74.7;17355;6693
1427;Diego Llorente;1410;88.2;31683;7679
1428;Fernando Llorente;127;81.4;1822;142
1429;Marcos Llorente;395;77.9;6233;1632
1430;Gautier Lloris;161;92.0;3001;916
1431;Hugo Lloris;395;69.5;13101;8616
1432;Giovani Lo Celso;832;82.8;15375;3976
1433;Stanislav Lobotka;608;94.1;10855;2265
1434;Stanislav Lobotka;683;87.9;12357;2937
1435;Jürgen Locadia;97;72.9;1504;263
1436;Jürgen Locadia;9;47.4;135;7
1437;Manuel Locatelli;1886;86.6;35567;8514
1438;Renan Lodi;926;74.3;15853;5561
1439;Ruben Loftus-Cheek;116;88.5;1837;338
1440;Enzo Loiodice;98;84.5;1971;361
1441;Kevin Long;141;75.8;3193;908
1442;Shane Long;226;55.8;2946;786
1443;Matthew Longstaff;193;81.4;3607;653
1444;Sean Longstaff;515;78.4;10160;2462
