;Player;ShootOnTarget;ShootPer90;GoalPerShoot
237;Raoul Bellanova;0;10.00;0.00
238;Karim Bellarabi;25;3.48;0.07
239;Jean-Ricner Bellegarde;5;1.08;0.00
240;Héctor Bellerín;2;0.54;0.14
241;Andrea Belotti;33;2.84;0.09
242;Fran Beltrán;4;0.69;0.07
243;Sami Ben Amar;0;0.00;
244;Hatem Ben Arfa;0;1.13;0.00
245;Wissam Ben Yedder;34;2.62;0.24
246;Marco Benassi;4;1.93;0.05
247;Cristian Benavente;3;1.29;0.00
248;Lars Bender;2;0.98;0.13
249;Sven Bender;4;0.59;0.11
250;Darío Benedetto;27;2.57;0.18
251;László Bénes;6;2.10;0.00
252;Walter Benítez;0;0.00;
253;Loris Benito;2;0.52;0.09
254;Bilal Benkhedim;0;0.68;0.00
255;Ismaël Bennacer;1;0.54;0.07
256;Ryan Bennett;0;0.00;
257;Ryan Bennett;0;0.00;
258;Keanen Bennetts;0;0.00;
259;Yassine Benrahou;0;1.61;0.00
260;Yassine Benrahou;10;2.72;0.09
261;Ramy Bensebaini;7;1.24;0.15
262;Nabil Bentaleb;0;0.48;0.00
263;Rodrigo Bentancur;3;0.66;0.00
264;Christian Benteke;19;3.00;0.05
265;Romario Benzar;0;0.00;
266;Karim Benzema;54;3.38;0.14
267;Yassine Benzia;0;2.08;0.00
268;Domenico Berardi;44;4.15;0.10
269;Yuri Berchiche;9;1.11;0.06
270;Álex Berenguer;13;1.97;0.15
271;Bartosz Bereszyński;1;0.64;0.00
272;Jóhann Berg Guðmundsson;2;1.59;0.09
273;Markel Bergara;0;1.25;0.00
274;Sander Berge;2;0.48;0.20
275;Steven Bergwijn;4;1.15;0.33
276;Robert Berić;1;1.53;0.14
277;Etrit Berisha;0;0.00;
278;Valon Berisha;0;0.00;
279;Valon Berisha;3;1.15;0.00
280;Sergio Bermejo;0;0.00;
281;Bernard;4;0.84;0.25
282;Federico Bernardeschi;9;2.92;0.02
283;Bernardo;2;0.93;0.00
284;Paul Bernardoni;0;0.00;
285;Juan Bernat;1;0.39;0.00
286;Dimitry Bertaud;0;0.00;
