;Player;Crosses;PenaltyWon;AerialWonRate
261;Ramy Bensebaini;21;0;64.6
262;Nabil Bentaleb;2;0;60.0
263;Rodrigo Bentancur;21;1;60.0
264;Christian Benteke;8;0;53.9
265;Romario Benzar;6;0;50.0
266;Karim Benzema;26;0;36.8
267;Yassine Benzia;2;0;33.3
268;Domenico Berardi;48;0;44.4
269;Yuri Berchiche;80;0;66.2
270;Álex Berenguer;38;0;31.7
271;Bartosz Bereszyński;31;0;56.1
272;Jóhann Berg Guðmundsson;27;0;39.1
273;Markel Bergara;1;0;33.3
274;Sander Berge;16;0;65.2
275;Steven Bergwijn;9;1;42.9
276;Robert Berić;7;0;26.3
277;Etrit Berisha;0;0;0.0
278;Valon Berisha;0;0;0.0
279;Valon Berisha;9;0;30.0
280;Sergio Bermejo;0;0;
281;Bernard;30;0;6.3
282;Federico Bernardeschi;28;0;54.5
283;Bernardo;14;0;75.7
284;Paul Bernardoni;0;0;
285;Juan Bernat;31;1;28.6
286;Dimitry Bertaud;0;0;
287;Andrea Bertolacci;4;1;53.3
288;Ryan Bertrand;81;0;54.6
289;Muhamed Bešić;1;0;50.0
290;Louis Beyer;1;0;16.7
291;Ermin Bičakčić;3;0;75.0
292;Pedro Bigas;12;0;63.1
293;Lucas Biglia;1;0;70.0
294;El Bilal Touré;3;1;33.3
295;Philip Billing;18;0;61.8
296;Cristiano Biraghi;83;0;22.2
297;Davide Biraschi;22;1;69.0
298;Valter Birsa;5;0;50.0
299;Dimitri Bisoli;50;0;48.5
300;Yves Bissouma;6;0;60.7
301;Leonardo Bittencourt;0;0;
302;Leonardo Bittencourt;56;0;28.1
303;Birkir Bjarnason;10;0;64.3
304;Rubén Blanco;0;0;
305;Ludovic Blas;12;0;33.9
306;Pablo de Blasis;64;0;32.8
307;Alejandro Blesa;0;0;0.0
308;Alexis Blin;8;0;51.4
309;Jérôme Boateng;5;0;74.5
310;Kevin-Prince Boateng;3;0;35.6
311;Antonin Bobichon;6;0;50.0
312;Antonin Bobichon;6;0;16.7
313;Salvatore Bocchetti;1;0;83.3
314;Mathieu Bodmer;1;0;50.0
315;Adam Bodzek;3;0;57.4
316;Jean-Paul Boëtius;15;0;25.5
317;Sacha Boey;2;1;100.0
318;Jeremie Boga;35;1;29.4
319;Melayro Bogarde;1;0;50.0
320;Quentin Boisgard;14;0;41.9
321;Willy Boly;0;0;73.0
322;Giacomo Bonaventura;14;1;29.6
323;Federico Bonazzoli;12;0;23.5
324;Gaëtan Bong;5;0;0.0
325;Kevin Bonifazi;0;0;50.0
326;Kevin Bonifazi;1;0;77.1
327;Federico Bonini;0;0;
328;Leonardo Bonucci;5;0;61.8
329;Fabio Borini;10;1;41.4
330;Fabio Borini;0;0;
331;Dennis Borkowski;0;0;
332;Robin Bormuth;0;0;57.1
333;Sebastiaan Bornauw;5;0;63.3
334;Brandon Borrello;4;0;30.8
335;Gabriel Boschilia;0;0;0.0
336;Denis Bouanga;46;0;38.0
337;Hicham Boudaoui;15;0;41.2
338;Ryad Boudebouz;44;0;22.7
339;Sofiane Boufal;30;0;42.1
340;Nassim Boujellab;0;0;35.0
341;Farid Boulaya;24;0;23.8
342;Yassine Bounou;0;0;
343;Mehdi Bourabia;3;0;42.9
344;Benjamin Bourigeaud;47;1;43.6
345;Bilal Boutobba;1;0;
346;Jarrod Bowen;31;0;14.8
347;Dedryck Boyata;0;0;74.3
348;John Boye;0;0;67.4
349;Can Bozdogan;0;0;50.0
350;Domagoj Bradarić;62;0;39.3
351;Filip Bradarić;4;0;48.0
352;Robbie Brady;8;0;75.0
353;Martin Braithwaite;4;0;60.0
354;Martin Braithwaite;10;0;41.9
355;Federico Brancolini;0;0;
356;Brandon;2;0;12.5
357;Julian Brandt;23;0;43.2
358;Jarrad Branthwaite;0;0;42.1
359;Darko Brašanac;12;1;34.2
360;Claudio Bravo;0;0;
361;Josip Brekalo;38;0;25.0
362;Gleison Bremer;0;0;59.3
363;Marco Brescianini;0;0;100.0
364;Anthony Briançon;3;0;56.4
365;Jimmy Briand;2;0;28.0
366;Yan Brice Eteki;0;0;49.0
367;Armando Broja;0;0;0.0
368;Dylan Bronn;0;0;54.5
369;David Brooks;14;0;0.0
370;John Brooks;2;0;69.7
371;Daniel Brosinski;83;0;45.2
372;Josh Brownhill;2;0;57.1
373;Marcelo Brozović;29;0;48.8
374;Gastón Brugman;2;0;66.7
375;Jeffrey Bruma;0;0;73.7
376;Jeffrey Bruma;0;0;70.2
377;Jacob Bruun Larsen;9;0;60.0
378;Jacob Bruun Larsen;0;0;16.7
379;Bryan;28;0;22.2
380;Bryan;3;0;0.0
381;Lucas Buadés;0;0;50.0
382;Ante Budimir;7;1;46.7
383;Emi Buendía;43;0;29.9
384;Gianluigi Buffon;0;0;
385;Marius Bülter;60;0;32.1
386;Esteban Burgos;0;0;67.6
