Name;Position;Age;Min;Goals;Goals.1;Asists;Asists.1;GoalAstPer90;90s;SCA;SCA90;ShootPass;ShootDrib;GCA;GCA90;AssistPass;AssistDrib;CompletedPasses;PassCompRatio;TotDistPass;ProgDistPass;Crosses;PenaltyWon;AerialWonRate;ShootOnTarget;ShootPer90;GoalPerShoot;TacklesWon;TklDribbling;Blocks;SuccPressRatio;MatchPlayed;PointPerMatch;TouchPenArea;SuccDrib;DribLegs;PlayerType;PlayerName;Value;Value2;Comp
Angeliño;DF;22.0;1518;1;0.04;2;0.08;0.125;16.9;53.0;3.0949999999999998;37.0;5.0;5.0;0.205;3.0;1.0;908.0;77.1;16515.0;5708.0;74;0.0;44.25;2;0.735;0.1;13;12.0;39.0;38.849999999999994;19;1.845;36.0;26.0;3.0;Defender;Angeliño;20.0;M;eng Premier League
Angelo Fulgini;MF;22.0;1579;1;0.06;1;0.06;0.11;17.5;59.0;3.36;30.0;9.0;5.0;0.28;2.0;2.0;741.0;79.7;12513.0;3791.0;32;0.0;40.9;16;1.94;0.03;23;12.0;22.0;28.6;20;1.35;53.0;61.0;12.0;Midfielder;Angelo Fulgini;3.0;M;fr Ligue 1
Angelo Ogbonna;DF;31.0;2786;2;0.06;0;0.0;0.06;31.0;10.0;0.32;9.0;0.0;0.0;0.0;0.0;0.0;744.0;78.7;16484.0;5263.0;2;0.0;68.4;4;0.45;0.14;34;14.0;78.0;37.4;31;1.23;28.0;2.0;0.0;Defender;Angelo Ogbonna;10.0;M;eng Premier League
Ante Budimir;FW;28.0;2765;13;0.42;2;0.07;0.49;30.7;46.0;1.5;26.0;2.0;6.0;0.2;4.0;1.0;381.0;65.2;4538.0;811.0;7;1.0;46.7;20;1.76;0.2;21;3.0;25.0;23.5;35;0.94;128.0;21.0;2.0;Forward;Ante Budimir;2.0;M;es La Liga
Anthony Briançon;DF;24.0;1737;1;0.05;0;0.0;0.05;19.3;9.0;0.47;6.0;0.0;0.0;0.0;0.0;0.0;704.0;84.2;18025.0;5824.0;3;0.0;56.4;3;0.88;0.06;15;12.0;40.0;36.0;22;0.91;17.0;5.0;0.0;Defender;Anthony Briançon;5.0;M;fr Ligue 1
Anthony Caci;DF;22.0;691;1;0.13;4;0.52;0.65;7.7;21.0;2.74;18.0;0.0;7.0;0.91;6.0;0.0;416.0;80.0;8754.0;4020.0;20;0.0;50.0;3;0.52;0.25;23;13.0;27.0;39.7;8;1.88;4.0;4.0;0.0;Defender;Anthony Caci;2.0;M;fr Ligue 1
Anthony Limbombe;FW;25.0;151;1;0.6;0;0.0;0.6;1.7;3.0;1.79;0.0;0.0;0.0;0.0;0.0;0.0;36.0;67.9;527.0;148.0;7;0.0;0.0;1;1.19;0.5;0;1.0;3.0;27.8;4;1.0;5.0;1.0;0.0;Forward;Anthony Limbombe;4.0;M;fr Ligue 1
Anthony Martial;FW;23.0;2624;17;0.58;6;0.21;0.79;29.2;95.0;3.26;72.0;12.0;19.0;0.65;13.0;2.0;575.0;79.8;8013.0;1715.0;20;1.0;25.9;38;2.71;0.22;12;1.0;19.0;28.5;32;1.81;188.0;64.0;2.0;Forward;Anthony Martial;60.0;M;eng Premier League
Anthony Modeste;FW;31.0;1138;4;0.32;1;0.08;0.4;12.6;13.0;1.03;7.0;2.0;2.0;0.16;1.0;1.0;132.0;55.5;2273.0;431.0;5;0.0;51.7;10;2.69;0.12;6;1.0;6.0;22.5;27;0.85;48.0;9.0;0.0;Forward;Anthony Modeste;2.0;M;de Bundesliga
Anthony Ujah;FW;28.0;949;3;0.28;2;0.19;0.47;10.5;17.0;1.61;14.0;0.0;6.0;0.57;3.0;0.0;162.0;61.4;2497.0;752.0;7;0.0;47.2;6;1.71;0.17;5;1.0;5.0;23.1;24;1.13;36.0;11.0;1.0;Forward;Anthony Ujah;1.0;M;de Bundesliga
Antonin Bobichon;MF;23.0;829;2;0.14;1;0.07;0.21;9.2;22.0;2.4299999999999997;15.0;1.0;3.0;0.39;1.0;1.0;300.0;78.15;5325.0;1472.0;12;0.0;33.35;5;1.885;0.05;9;6.0;18.0;29.35;13;0.865;22.0;8.0;0.0;Midfielder;Antonin Bobichon;4.0;M;fr Ligue 1
Antonino La Gumina;FW;23.0;186;0;0.0;0;0.0;0.0;2.1;4.0;1.94;2.0;0.0;0.0;0.0;0.0;0.0;27.0;87.1;324.0;6.0;0;0.0;27.8;2;1.94;0.0;1;0.0;0.0;21.7;5;1.2;6.0;1.0;0.0;Forward;Antonino La Gumina;2.0;M;it Serie A
Antonio Barragán;DF;32.0;641;0;0.0;1;0.14;0.14;7.1;19.0;2.67;16.0;2.0;3.0;0.42;2.0;1.0;377.0;82.0;6658.0;2342.0;37;0.0;75.0;0;0.28;0.0;1;1.0;9.0;23.4;12;1.08;10.0;3.0;1.0;Defender;Antonio Barragán;900.0;K;es La Liga
Antonio Barreca;DF;24.0;1095;0;0.0;1;0.08;0.08;12.2;14.0;1.15;10.0;0.0;1.0;0.08;1.0;0.0;266.0;66.5;4975.0;2106.0;54;0.0;37.5;3;0.49;0.0;3;2.0;23.0;23.6;18;1.06;18.0;7.0;3.0;Defender;Antonio Barreca;4.0;M;it Serie A
