;Player;TacklesWon;TklDribbling;Blocks;SuccPressRatio
2100;Declan Rice;89;32;68;28.9
2101;Chris Richards;0;0;0;0.0
2102;Richarlison;45;19;34;26.5
2103;Marco Richter;15;11;35;23.7
2104;Diego Rico;42;18;82;31.0
2105;Sergio Rico;0;0;0;
2106;Jaïro Riedewald;12;8;13;33.9
2107;Emiliano Rigoni;5;2;4;20.8
2108;Tomás Rincón;35;27;36;26.5
2109;Luis Rioja;14;6;24;20.6
2110;Renaud Ripart;15;14;31;28.5
2111;Rodrigo Riquelme;0;0;1;0.0
2112;Andrea Rispoli;22;18;58;24.9
2113;Marcel Risse;1;1;1;14.8
2114;Mihailo Ristić;8;7;15;19.7
2115;Matt Ritchie;17;4;27;23.6
2116;Marlon Ritter;3;6;15;21.1
2117;Cristian Rivera;3;1;7;25.0
2118;Maxence Rivera;0;0;0;55.6
2119;Rober;2;1;0;28.0
2120;Roberto;0;0;0;
2121;Roberto;1;1;0;0.0
2122;Sergi Roberto;19;9;33;29.5
2123;Patrick Roberts;0;0;0;25.0
2124;Andrew Robertson;32;30;59;34.4
2125;Callum Robinson;4;1;4;28.1
2126;Jack Robinson;3;5;15;29.1
2127;Joel Robles;0;0;0;0.0
2128;Marc Roca;61;29;42;29.0
2129;Rubén Rochina;25;19;27;26.6
2130;Sebastian Rode;41;12;36;28.4
2131;Rodri;44;28;28;29.7
2132;Rodrigo;7;1;14;28.7
2133;Kévin Rodrigues;32;18;44;29.3
2134;Kévin Rodrigues;0;1;0;20.0
2135;Óscar Rodríguez Arnaiz;10;11;35;21.3
2136;Ángel Rodríguez;12;1;11;26.6
2137;Dani Rodríguez;36;14;51;26.1
2138;Guido Rodríguez;21;12;11;31.3
2139;James Rodríguez;11;3;5;35.1
2140;Jay Rodriguez;17;6;43;26.2
2141;Mario Rodriguez;0;0;0;100.0
2142;Ricardo Rodríguez;4;2;10;29.4
2143;Rodrygo;4;2;17;23.6
2144;Jack Rodwell;0;0;0;0.0
2145;Marko Rog;62;21;54;29.4
2146;Agustín Rogel;7;4;21;27.5
2147;Rogério;12;9;28;31.1
2148;Marcos Rojo;1;0;1;25.0
2149;Filippo Romagna;7;2;34;32.0
2150;Alessio Romagnoli;25;9;54;33.9
2151;Alaixys Romao;36;21;22;33.3
2152;Cristian Romero;37;19;73;32.7
2153;Luka Romero;0;0;0;0.0
2154;Oriol Romeu;39;29;58;32.0
2155;Rômulo;16;10;24;19.8
2156;Rômulo;0;0;0;0.0
2157;Cristiano Ronaldo;10;4;16;22.2
2158;Facundo Roncaglia;18;10;30;35.6
2159;Valentin Rongier;51;22;41;26.1
2160;Valentin Rongier;3;2;2;25.9
2161;Marten de Roon;49;36;52;30.8
2162;Roberto Rosales;23;22;38;30.5
2163;Antonio Rosati;0;0;0;
2164;Danny Rose;13;7;23;33.0
2165;Danny Rose;15;9;11;31.5
2166;Luca Rossettini;16;10;49;30.6
2167;Francesco Rossi;0;0;0;
2168;Jérôme Roussillon;27;16;66;36.1
2169;Nolan Roux;1;1;7;27.8
2170;Nicolò Rovella;1;0;1;20.8
2171;Amir Rrahmani;39;27;76;28.8
2172;Rubén;0;0;0;100.0
2173;Waldo Rubio;9;7;12;23.4
2174;Antonio Rüdiger;24;13;27;38.6
2175;Sebastian Rudy;53;27;31;29.2
2176;Stéphane Ruffier;0;0;0;100.0
2177;Dion Ruffo Luci;0;0;0;
2178;Daniele Rugani;6;4;12;26.9
2179;Mário Rui;25;12;43;35.4
2180;Aitor Ruibal;18;13;18;27.8
2181;Fabián Ruiz Peña;33;21;47;30.1
2182;Gerónimo Rulli;0;0;1;0.0
2183;Lukas Rupp;9;2;17;25.0
2184;Lukas Rupp;3;5;8;24.3
2185;Mathew Ryan;0;0;0;40.0
2186;Julian Ryerson;5;4;9;34.4
2187;Frederik Rønnow;0;0;0;0.0
2188;João Victor Santos Sá;22;15;38;28.4
2189;Roli Pereira de Sa;0;0;0;0.0
2190;Youssouf Sabaly;19;7;16;34.0
2191;Stefano Sabelli;60;48;94;25.3
2192;Abdelhamid Sabiri;17;7;16;28.7
2193;Marcel Sabitzer;29;17;34;36.9
2194;Ihsan Sacko;1;0;2;28.0
2195;Alexis Saelemaekers;6;7;12;26.8
2196;Jorge Sáenz;0;0;6;25.0
2197;Nuri Şahin;22;9;25;34.9
