;Player;Position;Comp;Age;Min;Goals;Goals;Asists;Asists;GoalAstPer90
107;Houssem Aouar;MF;fr Ligue 1;21;1,956;3;0.14;4;0.18;0.32
108;Adil Aouchiche;MF;fr Ligue 1;17;64;0;0.00;0;0.00;0.00
109;Dennis Appiah;DF;fr Ligue 1;27;1,605;0;0.00;0;0.00;0.00
110;Mauro Arambarri;MF;es La Liga;23;3,069;1;0.03;1;0.03;0.06
111;Guilherme Arana;DF;it Serie A;22;80;0;0.00;0;0.00;0.00
112;Charles Aránguiz;MF;de Bundesliga;30;2,118;1;0.04;3;0.13;0.17
113;Luiz Araújo;FW,MF;fr Ligue 1;23;828;2;0.22;1;0.11;0.33
114;Néstor Araujo;DF;es La Liga;27;2,888;1;0.03;2;0.06;0.09
115;Ronald Araújo;DF;es La Liga;20;238;0;0.00;0;0.00;0.00
116;Anaitz Arbilla;DF;es La Liga;32;2,007;1;0.04;0;0.00;0.04
117;Alphonse Areola;GK;es La Liga;26;360;0;0.00;0;0.00;0.00
118;Alphonse Areola;GK;fr Ligue 1;26;270;0;0.00;0;0.00;0.00
119;Santiago Arias;DF;es La Liga;27;1,076;0;0.00;1;0.08;0.08
120;Nicolò Armini;DF;it Serie A;18;3;0;0.00;0;0.00;0.00
121;Stuart Armstrong;MF;eng Premier League;27;1,715;5;0.26;3;0.16;0.42
122;José Arnaiz;FW,MF;es La Liga;24;791;2;0.23;1;0.11;0.34
123;José Arnaiz;MF,FW;es La Liga;24;337;0;0.00;0;0.00;0.00
124;Maximilian Arnold;MF;de Bundesliga;25;2,821;4;0.13;8;0.26;0.38
125;Kepa Arrizabalaga;GK;eng Premier League;24;2,970;0;0.00;0;0.00;0.00
126;Kwadwo Asamoah;DF;it Serie A;30;639;0;0.00;1;0.14;0.14
127;Santiago Ascacíbar;MF;de Bundesliga;22;634;0;0.00;1;0.14;0.14
128;Sergio Asenjo;GK;es La Liga;30;3,060;0;0.00;0;0.00;0.00
129;Marco Asensio;FW;es La Liga;23;336;3;0.80;1;0.27;1.07
130;Kristoffer Askildsen;MF;it Serie A;18;76;1;1.18;0;0.00;1.18
131;Iago Aspas;FW;es La Liga;31;3,262;14;0.39;3;0.08;0.47
132;Roger Assalé;FW,MF;es La Liga;25;531;2;0.34;1;0.17;0.51
133;Miguel Atienza;MF;es La Liga;;30;0;0.00;0;0.00;0.00
134;Christian Atsu;FW,MF;eng Premier League;27;749;0;0.00;3;0.36;0.36
135;Youcef Attal;FW,DF;fr Ligue 1;23;1,003;1;0.09;1;0.09;0.18
136;Pierre-Emerick Aubameyang;FW;eng Premier League;30;3,136;22;0.63;3;0.09;0.72
137;Emil Audero;GK;it Serie A;22;3,240;0;0.00;0;0.00;0.00
138;Tommaso Augello;DF;it Serie A;24;1,135;0;0.00;2;0.16;0.16
139;Jean-Kévin Augustin;FW;fr Ligue 1;22;266;0;0.00;0;0.00;0.00
140;Ludwig Augustinsson;DF;de Bundesliga;25;924;0;0.00;1;0.10;0.10
141;Serge Aurier;DF;eng Premier League;26;2,700;1;0.03;5;0.17;0.20
142;Mathias Autret;MF,FW;fr Ligue 1;28;1,222;2;0.15;3;0.22;0.37
143;Ezequiel Ávila;FW;es La Liga;25;1,591;9;0.51;2;0.11;0.62
144;Javier Avilés;MF,FW;es La Liga;21;184;1;0.49;1;0.49;0.98
145;Chidozie Awaziem;DF;es La Liga;22;1,997;0;0.00;0;0.00;0.00
146;Taiwo Awoniyi;FW;de Bundesliga;21;483;1;0.19;0;0.00;0.19
147;Florian Ayé;FW,MF;it Serie A;22;1,380;0;0.00;0;0.00;0.00
148;Jordan Ayew;FW,MF;eng Premier League;27;3,148;9;0.26;2;0.06;0.31
149;Kaan Ayhan;DF;de Bundesliga;24;2,731;2;0.07;3;0.10;0.16
150;Ramon Azeez;MF;es La Liga;26;1,361;2;0.13;0;0.00;0.13
151;César Azpilicueta;DF;eng Premier League;29;3,229;2;0.06;6;0.17;0.22
152;Ludovic Baal;DF;fr Ligue 1;33;827;0;0.00;0;0.00;0.00
153;Iddrisu Baba;MF;es La Liga;23;2,903;0;0.00;0;0.00;0.00
154;Khouma Babacar;FW;it Serie A;26;1,422;3;0.19;0;0.00;0.19
155;Carlos Bacca;FW,MF;es La Liga;32;688;2;0.26;1;0.13;0.39
156;Milan Badelj;MF;it Serie A;30;1,585;1;0.06;0;0.00;0.06
157;Matthias Bader;DF;de Bundesliga;22;12;0;0.00;0;0.00;0.00
158;Bastian Badu;FW;fr Ligue 1;19;9;0;0.00;0;0.00;0.00
159;Alejandro Baena;MF;es La Liga;18;15;0;0.00;0;0.00;0.00
160;Stéphane Bahoken;FW;fr Ligue 1;27;907;4;0.40;0;0.00;0.40
161;Daniel Baier;MF;de Bundesliga;35;1,941;1;0.05;0;0.00;0.05
162;Leon Bailey;FW,MF;de Bundesliga;21;1,090;5;0.41;3;0.25;0.66
163;Eric Bailly;DF;eng Premier League;25;150;0;0.00;0;0.00;0.00
164;Dénys Bain;DF;fr Ligue 1;26;1,268;1;0.07;0;0.00;0.07
165;Leighton Baines;DF;eng Premier League;34;404;0;0.00;0;0.00;0.00
166;Stefan Bajic;GK;fr Ligue 1;17;90;0;0.00;0;0.00;0.00
167;Tiemoué Bakayoko;MF;fr Ligue 1;24;1,719;1;0.05;2;0.10;0.16
168;Lewis Baker;MF;de Bundesliga;24;545;0;0.00;0;0.00;0.00
169;Mitchel Bakker;DF;fr Ligue 1;19;90;0;0.00;0;0.00;0.00
170;Ridle Baku;DF,MF;de Bundesliga;21;2,351;1;0.04;3;0.11;0.15
