;Player;Position;Comp;Age;Min;Goals;Goals;Asists;Asists;GoalAstPer90
642;Romain Del Castillo;FW,MF;fr Ligue 1;23;1,242;2;0.14;5;0.36;0.51
643;Thomas Delaine;DF;fr Ligue 1;27;1,254;0;0.00;0;0.00;0.00
644;Thomas Delaney;MF;de Bundesliga;27;830;0;0.00;0;0.00;0.00
645;Paul Delecroix;GK;fr Ligue 1;30;136;0;0.00;0;0.00;0.00
646;Cristian Dell'Orco;DF;it Serie A;25;1,007;0;0.00;1;0.09;0.09
647;Andy Delort;FW;fr Ligue 1;27;2,280;9;0.36;3;0.12;0.47
648;Fabian Delph;MF;eng Premier League;29;1,190;0;0.00;0;0.00;0.00
649;Moussa Dembélé;FW;fr Ligue 1;23;2,188;16;0.66;2;0.08;0.74
650;Ousmane Dembélé;FW;es La Liga;22;357;1;0.25;0;0.00;0.25
651;Merih Demiral;DF;it Serie A;21;418;1;0.22;1;0.22;0.43
652;Kerem Demirbay;MF;de Bundesliga;26;1,573;1;0.06;5;0.29;0.34
653;Diego Demme;MF;de Bundesliga;27;1,211;0;0.00;0;0.00;0.00
654;Diego Demme;MF;it Serie A;27;902;1;0.10;0;0.00;0.10
655;Jason Denayer;DF;fr Ligue 1;24;2,131;0;0.00;1;0.04;0.04
656;Leander Dendoncker;MF,DF;eng Premier League;24;2,795;4;0.13;0;0.00;0.13
657;Kevin Denkey;FW;fr Ligue 1;18;603;3;0.45;1;0.15;0.60
658;Stefano Denswil;DF;it Serie A;26;2,240;0;0.00;1;0.04;0.04
659;Fabio Depaoli;MF,DF;it Serie A;22;1,854;0;0.00;1;0.05;0.05
660;Memphis Depay;FW,MF;fr Ligue 1;25;1,018;9;0.80;2;0.18;0.97
661;Kastriot Dermaku;DF;it Serie A;27;1,026;0;0.00;0;0.00;0.00
662;Daniele Dessena;MF;it Serie A;32;1,869;2;0.10;0;0.00;0.10
663;Mattia Destro;FW;it Serie A;28;185;0;0.00;0;0.00;0.00
664;Mattia Destro;FW,MF;it Serie A;28;150;0;0.00;0;0.00;0.00
665;Gerard Deulofeu;FW;eng Premier League;25;2,098;4;0.17;5;0.21;0.39
666;Deyverson;FW;es La Liga;28;204;0;0.00;1;0.44;0.44
667;Samuel Di Carmine;FW;it Serie A;30;1,293;8;0.56;0;0.00;0.56
668;Federico Di Francesco;FW;it Serie A;25;1,082;2;0.17;0;0.00;0.17
669;Giovanni Di Lorenzo;DF;it Serie A;25;2,970;3;0.09;3;0.09;0.18
670;Ángel Di María;FW,MF;fr Ligue 1;31;2,000;8;0.36;14;0.63;0.99
671;Boulaye Dia;FW;fr Ligue 1;22;1,812;7;0.35;1;0.05;0.40
672;Fousseni Diabaté;FW,MF;fr Ligue 1;23;1,190;1;0.08;3;0.23;0.30
673;Moussa Diaby;FW,MF;de Bundesliga;20;1,771;5;0.25;5;0.25;0.51
674;Mouctar Diakhaby;DF;es La Liga;22;1,444;0;0.00;0;0.00;0.00
675;Bafodé Diakité;DF;fr Ligue 1;18;1,366;2;0.13;0;0.00;0.13
676;Abdou Diallo;DF;fr Ligue 1;23;1,201;0;0.00;1;0.07;0.07
677;Habib Diallo;FW;fr Ligue 1;24;2,196;12;0.49;3;0.12;0.61
678;Ibrahima Diallo;MF;fr Ligue 1;20;1,561;0;0.00;1;0.06;0.06
679;Moussa Diarra;DF;fr Ligue 1;18;90;0;0.00;0;0.00;0.00
680;Raphael Dias Belloli;MF,FW;fr Ligue 1;22;1,690;5;0.27;3;0.16;0.43
681;Lucas Dias;GK;fr Ligue 1;20;317;0;0.00;0;0.00;0.00
682;Amadou Diawara;MF;it Serie A;22;1,518;1;0.06;1;0.06;0.12
683;Brahim Díaz;FW,MF;es La Liga;19;65;0;0.00;0;0.00;0.00
684;Víctor Díaz;DF;es La Liga;31;2,884;1;0.03;5;0.16;0.19
685;Bakaye Dibassy;DF;fr Ligue 1;29;1,868;2;0.10;0;0.00;0.10
686;Eric Dier;DF,MF;eng Premier League;25;1,344;0;0.00;2;0.13;0.13
687;Lucas Digne;DF;eng Premier League;26;3,030;0;0.00;7;0.21;0.21
688;Virgil van Dijk;DF;eng Premier League;28;3,420;5;0.13;1;0.03;0.16
689;Mitchell Dijks;DF;it Serie A;26;1,006;0;0.00;0;0.00;0.00
690;Javairô Dilrosun;MF,FW;de Bundesliga;21;1,309;4;0.28;2;0.14;0.41
691;Federico Dimarco;DF;it Serie A;21;521;0;0.00;3;0.52;0.52
692;Federico Dimarco;DF,MF;it Serie A;21;27;0;0.00;0;0.00;0.00
693;Tristan Dingomé;MF;fr Ligue 1;28;892;0;0.00;1;0.10;0.10
694;Lois Diony;FW;fr Ligue 1;26;666;2;0.27;0;0.00;0.27
695;Issa Diop;DF;eng Premier League;22;2,766;3;0.10;1;0.03;0.13
696;Papakouli Diop;MF;es La Liga;33;2,253;1;0.04;0;0.00;0.04
697;Assane Dioussé;MF;fr Ligue 1;21;120;0;0.00;0;0.00;0.00
698;Axel Disasi;DF;fr Ligue 1;21;2,430;1;0.04;0;0.00;0.04
699;Tiago Djaló;DF;fr Ligue 1;19;661;0;0.00;0;0.00;0.00
700;Djené;DF;es La Liga;27;3,060;0;0.00;0;0.00;0.00
701;Moussa Djenepo;MF,DF;eng Premier League;21;928;2;0.19;2;0.19;0.39
702;Koffi Djidji;DF;it Serie A;26;851;0;0.00;0;0.00;0.00
703;Alexander Djiku;DF,MF;fr Ligue 1;24;2,064;1;0.04;1;0.04;0.09
704;Berat Djimsiti;DF;it Serie A;26;2,783;2;0.06;1;0.03;0.10
705;Naïs Djouahra;FW;es La Liga;19;29;0;0.00;1;3.10;3.10
706;Marko Dmitrović;GK;es La Liga;27;3,150;0;0.00;0;0.00;0.00
707;Matt Doherty;DF;eng Premier League;27;2,839;4;0.13;3;0.10;0.22
708;Kasper Dolberg;FW;fr Ligue 1;21;1,888;11;0.52;3;0.14;0.67
709;Keagan Dolly;MF;fr Ligue 1;26;148;0;0.00;0;0.00;0.00
710;Jaume Doménech;GK;es La Liga;28;1,324;0;0.00;0;0.00;0.00
711;Nicolás Domínguez;MF;it Serie A;21;699;0;0.00;1;0.13;0.13
712;Giulio Donati;DF;it Serie A;29;1,760;1;0.05;0;0.00;0.05
713;Ji Dong-won;FW;de Bundesliga;28;102;0;0.00;0;0.00;0.00
714;Anastasios Donis;FW,MF;fr Ligue 1;22;609;0;0.00;0;0.00;0.00
715;Alfredo Donnarumma;FW;it Serie A;28;1,684;7;0.37;2;0.11;0.48
716;Gianluigi Donnarumma;GK;it Serie A;20;3,201;0;0.00;0;0.00;0.00
717;Gabriel Dos Santos;DF;fr Ligue 1;21;2,087;1;0.04;0;0.00;0.04
718;Mathieu Dossevi;MF,FW;fr Ligue 1;31;1,751;1;0.05;2;0.10;0.15
719;Bas Dost;FW;de Bundesliga;30;1,475;8;0.49;2;0.12;0.61
720;Abdoulaye Doucouré;MF;eng Premier League;26;3,156;4;0.11;2;0.06;0.17
721;Mamadou Doucouré;MF;de Bundesliga;21;2;0;0.00;0;0.00;0.00
722;Moussa Doumbia;FW,MF;fr Ligue 1;24;1,718;2;0.10;1;0.05;0.16
723;Souleyman Doumbia;DF;fr Ligue 1;22;450;0;0.00;1;0.20;0.20
724;Souleyman Doumbia;DF;fr Ligue 1;22;90;0;0.00;0;0.00;0.00
725;Thomas Doyle;MF,FW;eng Premier League;17;16;0;0.00;0;0.00;0.00
726;Mohamed Dräger;DF;de Bundesliga;23;1,455;1;0.06;3;0.19;0.25
727;Aleksandar Dragović;DF;de Bundesliga;28;1,029;0;0.00;0;0.00;0.00
728;Bartłomiej Drągowski;GK;it Serie A;21;2,790;0;0.00;0;0.00;0.00
729;Julian Draxler;MF;fr Ligue 1;25;686;0;0.00;4;0.52;0.52
730;Dominick Drexler;MF,FW;de Bundesliga;29;1,587;3;0.17;4;0.23;0.40
731;Danny Drinkwater;MF;eng Premier League;29;259;0;0.00;0;0.00;0.00
732;Danny Drinkwater;MF;eng Premier League;29;58;0;0.00;0;0.00;0.00
733;Josip Drmić;FW,MF;eng Premier League;26;647;1;0.14;0;0.00;0.14
734;Domingos Duarte;DF;es La Liga;24;3,087;3;0.09;1;0.03;0.12
735;Léo Duarte;DF;it Serie A;23;405;0;0.00;0;0.00;0.00
736;Óscar Duarte;DF;es La Liga;30;485;0;0.00;0;0.00;0.00
737;Rubén Duarte;DF;es La Liga;23;2,663;0;0.00;1;0.03;0.03
738;Edgaras Dubickas;DF;it Serie A;21;3;0;0.00;0;0.00;0.00
739;Leo Dubois;DF;fr Ligue 1;24;1,346;0;0.00;0;0.00;0.00
740;Martin Dúbravka;GK;eng Premier League;30;3,420;0;0.00;0;0.00;0.00
741;Ondrej Duda;MF;eng Premier League;24;724;0;0.00;0;0.00;0.00
742;Ondrej Duda;MF,FW;de Bundesliga;24;447;0;0.00;1;0.20;0.20
743;Shane Duffy;DF;eng Premier League;27;1,238;1;0.07;0;0.00;0.07
744;Haris Duljević;FW,MF;fr Ligue 1;25;520;0;0.00;3;0.52;0.52
745;Paul Dummett;DF;eng Premier League;27;1,228;0;0.00;0;0.00;0.00
746;Alfred Duncan;MF;it Serie A;26;887;1;0.10;1;0.10;0.20
747;Alfred Duncan;MF;it Serie A;26;843;1;0.11;5;0.53;0.64
748;Lewis Dunk;DF;eng Premier League;27;3,230;3;0.08;3;0.08;0.17
749;Erik Durm;DF;de Bundesliga;27;511;0;0.00;0;0.00;0.00
750;Riza Durmisi;DF;fr Ligue 1;25;160;0;0.00;0;0.00;0.00
751;Hugo Duro;FW,MF;es La Liga;19;378;1;0.24;1;0.24;0.48
752;Jean-Kevin Duverne;DF;fr Ligue 1;22;1,178;0;0.00;0;0.00;0.00
753;Paulo Dybala;FW,MF;it Serie A;25;2,155;11;0.46;6;0.25;0.71
754;Edin Džeko;FW;it Serie A;33;2,854;16;0.50;7;0.22;0.73
755;Blerim Džemaili;MF;it Serie A;33;698;1;0.13;1;0.13;0.26
756;Bruno Ecuele Manga;DF;fr Ligue 1;31;2,520;0;0.00;0;0.00;0.00
757;Simone Edera;MF,FW;it Serie A;22;398;1;0.23;1;0.23;0.45
758;Ederson;GK;eng Premier League;25;3,071;0;0.00;0;0.00;0.00
759;John Egan;DF;eng Premier League;26;3,187;2;0.06;0;0.00;0.06
760;Johannes Eggestein;MF,FW;de Bundesliga;21;510;1;0.18;0;0.00;0.18
761;Maximilian Eggestein;MF,DF;de Bundesliga;22;2,855;1;0.03;3;0.09;0.13
762;Kingsley Ehizibue;DF;de Bundesliga;24;2,329;1;0.04;1;0.04;0.08
763;Albin Ekdal;MF;it Serie A;30;2,385;0;0.00;2;0.08;0.08
764;Harvey Elliot;DF;eng Premier League;16;8;0;0.00;0;0.00;0.00
765;Elif Elmas;MF;it Serie A;19;1,134;1;0.08;1;0.08;0.16
766;Ilay Elmkies;MF;de Bundesliga;19;1;0;0.00;0;0.00;0.00
767;Ahmed Elmohamady;DF;eng Premier League;31;1,031;1;0.09;1;0.09;0.17
768;Aritz Elustondo;DF;es La Liga;25;1,510;0;0.00;1;0.06;0.06
769;Nico Elvedi;DF;de Bundesliga;22;2,618;1;0.03;0;0.00;0.03
770;Rodrigo Ely;DF;es La Liga;25;2,121;2;0.08;0;0.00;0.08
771;Adri Embarba;MF,FW;es La Liga;27;1,371;2;0.13;4;0.26;0.39
772;Breel Embolo;FW,MF;de Bundesliga;22;1,550;8;0.46;5;0.29;0.75
773;Emerson;DF;es La Liga;20;2,839;3;0.10;6;0.19;0.29
774;Renaud Emond;FW,MF;fr Ligue 1;27;292;0;0.00;0;0.00;0.00
775;Alan Empereur;DF;it Serie A;25;855;0;0.00;0;0.00;0.00
776;Youssef En-Nesyri;FW;es La Liga;22;1,385;4;0.26;2;0.13;0.39
777;Youssef En-Nesyri;FW;es La Liga;22;796;4;0.45;0;0.00;0.45
778;Björn Engels;DF;eng Premier League;24;1,447;1;0.06;0;0.00;0.06
779;Sergi Enrich;FW;es La Liga;29;1,865;1;0.05;4;0.19;0.24
780;Javier Eraso;MF,FW;es La Liga;29;815;0;0.00;0;0.00;0.00
781;Christian Eriksen;MF,FW;eng Premier League;27;1,097;2;0.16;2;0.16;0.33
782;Christian Eriksen;MF;it Serie A;27;703;1;0.13;2;0.26;0.38
783;Gonzalo Escalante;MF;es La Liga;26;1,674;0;0.00;1;0.05;0.05
784;Aarón Escandell;GK;es La Liga;23;270;0;0.00;0;0.00;0.00
785;Sergio Escudero;DF;es La Liga;29;773;1;0.12;0;0.00;0.12
786;Espeto;DF,MF;it Serie A;22;2,110;1;0.04;2;0.09;0.13
787;Bernardo Espinosa;DF;es La Liga;30;2,259;3;0.12;0;0.00;0.12
788;Sebastiano Esposito;FW;it Serie A;17;199;1;0.45;0;0.00;0.45
789;Esquerdo;MF;es La Liga;20;15;0;0.00;0;0.00;0.00
790;Alexander Esswein;FW,MF;de Bundesliga;29;213;0;0.00;0;0.00;0.00
791;Pervis Estupiñán;DF;es La Liga;21;2,979;1;0.03;5;0.15;0.18
792;Oghenekaro Etebo;MF;es La Liga;23;572;1;0.16;0;0.00;0.16
793;Beñat Etxebarria;MF;es La Liga;32;394;0;0.00;0;0.00;0.00
794;Xabier Etxeita;DF;es La Liga;31;1,446;0;0.00;0;0.00;0.00
795;Antony Evans;MF,DF;de Bundesliga;20;156;0;0.00;0;0.00;0.00
796;Jonny Evans;DF;eng Premier League;31;3,383;1;0.03;1;0.03;0.05
797;Edu Expósito;MF;es La Liga;22;2,316;4;0.16;1;0.04;0.19
798;Valentin Eysseric;MF,FW;it Serie A;27;353;0;0.00;0;0.00;0.00
799;Valentin Eysseric;MF;it Serie A;27;42;0;0.00;0;0.00;0.00
800;Łukasz Fabiański;GK;eng Premier League;34;2,117;0;0.00;0;0.00;0.00
801;Fabinho;MF;eng Premier League;25;2,079;2;0.09;3;0.13;0.22
802;Fábio;DF;fr Ligue 1;29;834;0;0.00;0;0.00;0.00
803;Cesc Fàbregas;MF;fr Ligue 1;32;930;0;0.00;3;0.29;0.29
804;Fabricio;GK;es La Liga;31;90;0;0.00;0;0.00;0.00
805;Ralf Fährmann;GK;eng Premier League;30;21;0;0.00;0;0.00;0.00
806;Fayçal Fajr;MF;es La Liga;30;403;0;0.00;0;0.00;0.00
807;Luca Falbo;DF;it Serie A;19;2;0;0.00;0;0.00;0.00
808;Filippo Falco;FW,MF;it Serie A;27;2,014;4;0.18;6;0.27;0.45
809;Eliseo Falcon;DF,MF;es La Liga;22;73;0;0.00;0;0.00;0.00
810;Wladimiro Falcone;GK;it Serie A;24;180;0;0.00;0;0.00;0.00
811;Simon Falette;DF;de Bundesliga;27;90;0;0.00;0;0.00;0.00
812;Iago Falque;MF,FW;it Serie A;29;102;0;0.00;0;0.00;0.00
813;Iago Falque;MF;it Serie A;29;519;2;0.35;1;0.17;0.52
814;Akin Famewo;MF;eng Premier League;20;1;0;0.00;0;0.00;0.00
815;Andri Fannar Baldursson;MF;it Serie A;17;143;0;0.00;0;0.00;0.00
816;Paolo Faragò;DF;it Serie A;26;1,343;1;0.07;1;0.07;0.13
817;Davide Faraoni;DF;it Serie A;27;3,228;5;0.14;3;0.08;0.22
818;Mohamed Fares;DF,MF;it Serie A;23;421;0;0.00;0;0.00;0.00
819;Diego Farias;FW,MF;it Serie A;29;824;2;0.22;0;0.00;0.22
820;Ansu Fati;FW,DF;es La Liga;16;1,027;7;0.61;1;0.09;0.70
821;Julien Faussurier;DF;fr Ligue 1;32;1,980;2;0.09;3;0.14;0.23
822;Andrea Favilli;FW;it Serie A;22;658;0;0.00;0;0.00;0.00
823;Federico Fazio;DF;it Serie A;32;1,213;1;0.07;0;0.00;0.07
824;Aleix Febas;MF;es La Liga;23;1,690;0;0.00;3;0.16;0.16
825;Zouhair Feddal;DF;es La Liga;30;1,431;1;0.06;2;0.13;0.19
826;Ljubomir Fejsa;MF;es La Liga;30;786;0;0.00;0;0.00;0.00
827;Nabil Fekir;MF,FW;es La Liga;26;2,638;7;0.24;4;0.14;0.38
828;Felipe;DF;es La Liga;30;2,102;1;0.04;0;0.00;0.04
829;Luiz Felipe;DF;it Serie A;22;2,024;1;0.04;1;0.04;0.09
830;Lucas Felippe;MF,DF;it Serie A;19;28;0;0.00;0;0.00;0.00
831;Ohis Felix Uduokhai;DF;de Bundesliga;21;1,966;0;0.00;0;0.00;0.00
832;João Félix;FW,MF;es La Liga;19;1,745;6;0.31;1;0.05;0.36
833;Kiko Femenía;DF;eng Premier League;28;2,237;0;0.00;0;0.00;0.00
834;Zinedine Ferhat;FW,MF;fr Ligue 1;26;2,246;3;0.12;4;0.16;0.28
835;Bruno Fernandes;MF;eng Premier League;24;1,186;8;0.61;7;0.53;1.14
836;Edimilson Fernandes;MF,DF;de Bundesliga;23;1,484;1;0.06;0;0.00;0.06
837;Gedson Fernandes;MF,DF;eng Premier League;20;68;0;0.00;0;0.00;0.00
838;Gelson Fernandes;MF;de Bundesliga;32;775;0;0.00;0;0.00;0.00
839;Matheus Fernandes;MF;es La Liga;21;166;0;0.00;0;0.00;0.00
840;Aitor Fernández;GK;es La Liga;28;3,240;0;0.00;0;0.00;0.00
841;Andrés Fernández;GK;es La Liga;32;360;0;0.00;1;0.25;0.25
842;Carlos Fernández;FW,MF;es La Liga;23;2,201;10;0.41;3;0.12;0.53
843;Federico Fernández;DF;eng Premier League;30;2,620;2;0.07;2;0.07;0.14
844;Gabriel Fernández;FW,MF;es La Liga;25;561;1;0.16;1;0.16;0.32
845;Joaquín Fernández;MF,DF;es La Liga;23;1,659;2;0.11;0;0.00;0.11
846;Fernandinho;DF;eng Premier League;34;2,397;0;0.00;1;0.04;0.04
847;Fernando;MF;es La Liga;32;2,659;2;0.07;3;0.10;0.17
848;Juan Ferney Otero;FW,MF;fr Ligue 1;24;1,202;1;0.07;2;0.15;0.22
849;Alex Ferrari;DF;it Serie A;25;1,005;0;0.00;0;0.00;0.00
850;Facundo Ferreyra;FW;es La Liga;28;574;1;0.16;0;0.00;0.16
851;Jordan Ferri;MF;fr Ligue 1;27;1,150;0;0.00;0;0.00;0.00
852;Oliver Fink;MF,FW;de Bundesliga;37;675;0;0.00;1;0.13;0.13
853;Alfreð Finnbogason;FW;de Bundesliga;30;966;3;0.28;1;0.09;0.37
854;Roberto Firmino;FW;eng Premier League;27;2,988;9;0.27;8;0.24;0.51
855;Junior Firpo;DF;es La Liga;22;1,014;1;0.09;1;0.09;0.18
856;John Fleck;MF;eng Premier League;27;2,516;5;0.18;2;0.07;0.25
857;Mark Flekken;GK;de Bundesliga;26;900;0;0.00;0;0.00;0.00
858;Sergio Floccari;FW;it Serie A;37;942;1;0.10;0;0.00;0.10
859;Alessandro Florenzi;DF,FW;it Serie A;28;997;0;0.00;1;0.09;0.09
860;Alessandro Florenzi;DF;es La Liga;28;752;0;0.00;0;0.00;0.00
861;Phil Foden;FW,MF;eng Premier League;19;901;5;0.50;2;0.20;0.70
862;Mamadou Fofana;DF,MF;fr Ligue 1;21;1,587;0;0.00;0;0.00;0.00
863;Seko Fofana;MF;it Serie A;24;2,249;3;0.12;7;0.28;0.40
864;Wesley Fofana;DF;fr Ligue 1;18;1,215;1;0.07;0;0.00;0.07
865;Youssouf Fofana;MF;fr Ligue 1;20;1,008;1;0.09;0;0.00;0.09
866;Youssouf Fofana;MF;fr Ligue 1;20;610;0;0.00;2;0.30;0.30
867;Thomas Foket;DF;fr Ligue 1;24;2,430;0;0.00;1;0.04;0.04
868;Lamine Fomba;MF;fr Ligue 1;21;1,373;0;0.00;0;0.00;0.00
869;José Fonte;DF;fr Ligue 1;35;2,205;1;0.04;1;0.04;0.08
870;Pablo Fornals;MF,FW;eng Premier League;23;2,172;2;0.08;5;0.21;0.29
871;Emil Forsberg;MF,FW;de Bundesliga;27;1,141;5;0.39;2;0.16;0.55
872;Hernâni Fortes;MF,FW;es La Liga;27;654;2;0.28;0;0.00;0.28
873;Ben Foster;GK;eng Premier League;36;3,420;0;0.00;0;0.00;0.00
874;Lyle Foster;FW;fr Ligue 1;18;62;0;0.00;0;0.00;0.00
875;Timothy Fosu-Mensah;DF;eng Premier League;21;136;0;0.00;0;0.00;0.00
876;Dimitri Foulquier;MF,DF;eng Premier League;26;59;0;0.00;0;0.00;0.00
877;Dimitri Foulquier;DF;es La Liga;26;1,119;1;0.08;0;0.00;0.08
878;Juan Foyth;DF;eng Premier League;21;68;0;0.00;0;0.00;0.00
879;Gianluca Frabotta;DF;it Serie A;20;90;0;0.00;0;0.00;0.00
880;Raphael Framberger;DF;de Bundesliga;23;1,175;0;0.00;2;0.15;0.15
881;Simon Francis;DF;eng Premier League;34;969;0;0.00;0;0.00;0.00
882;Mike Frantz;MF,DF;de Bundesliga;32;350;0;0.00;1;0.26;0.26
883;Ryan Fraser;MF,FW;eng Premier League;25;2,067;1;0.04;4;0.17;0.22
884;Fred;MF;eng Premier League;26;2,163;0;0.00;0;0.00;0.00
885;Ryan Fredericks;DF;eng Premier League;26;2,237;0;0.00;3;0.12;0.12
886;Kieron Freeman;FW;eng Premier League;27;7;0;0.00;0;0.00;0.00
887;Luke Freeman;MF;eng Premier League;27;366;0;0.00;0;0.00;0.00
888;Remo Freuler;MF;it Serie A;27;2,337;2;0.08;2;0.08;0.15
889;Marco Friedl;DF;de Bundesliga;21;2,183;1;0.04;3;0.12;0.16
890;Marvin Friedrich;DF;de Bundesliga;23;2,789;2;0.06;0;0.00;0.06
891;Samúel Friðjónsson;MF;de Bundesliga;23;192;0;0.00;0;0.00;0.00
892;Jorge de Frutos;MF,FW;es La Liga;22;59;0;0.00;0;0.00;0.00
893;Christian Fuchs;DF;eng Premier League;33;772;0;0.00;0;0.00;0.00
894;Angelo Fulgini;MF;fr Ligue 1;22;1,579;1;0.06;1;0.06;0.11
895;Niclas Füllkrug;FW;de Bundesliga;26;403;4;0.89;1;0.22;1.12
896;Ramiro Funes Mori;DF;es La Liga;28;453;0;0.00;0;0.00;0.00
897;Daniel Fuzato;GK;it Serie A;22;90;0;0.00;0;0.00;0.00
898;Matteo Gabbia;DF;it Serie A;19;680;0;0.00;0;0.00;0.00
899;Manolo Gabbiadini;FW;it Serie A;27;2,035;11;0.49;1;0.04;0.53
900;Gabriel;GK;it Serie A;26;2,997;0;0.00;0;0.00;0.00
901;Ruben Gabrielsen;DF;fr Ligue 1;27;656;0;0.00;0;0.00;0.00
902;Mijat Gaćinović;MF,FW;de Bundesliga;24;1,048;0;0.00;1;0.09;0.09
903;Luca Gagliano;FW;it Serie A;19;52;1;1.73;1;1.73;3.46
904;Roberto Gagliardini;MF;it Serie A;25;1,797;4;0.20;2;0.10;0.30
905;Riccardo Gagliolo;DF;it Serie A;29;2,604;3;0.10;2;0.07;0.17
906;Nicolás Gaitán;MF,FW;fr Ligue 1;31;54;0;0.00;0;0.00;0.00
907;Marvin Gakpa;MF,FW;fr Ligue 1;25;468;0;0.00;0;0.00;0.00
908;Enric Gallego;FW;es La Liga;32;880;3;0.31;0;0.00;0.31
909;Enric Gallego;FW;es La Liga;32;164;0;0.00;0;0.00;0.00
910;Kévin Gameiro;FW;es La Liga;32;1,581;6;0.34;2;0.11;0.46
911;Fran Gámez;DF;es La Liga;28;1,768;0;0.00;1;0.05;0.05
912;Idrissa Gana Gueye;MF;fr Ligue 1;29;1,653;1;0.05;2;0.11;0.16
913;Ignatius Ganago;FW,MF;fr Ligue 1;20;1,239;3;0.22;1;0.07;0.29
914;Ezequiel Garay;DF;es La Liga;32;1,437;0;0.00;0;0.00;0.00
915;Dani García;MF;es La Liga;29;3,029;0;0.00;1;0.03;0.03
916;David García;DF;es La Liga;25;2,793;0;0.00;0;0.00;0.00
917;Eric García;DF;eng Premier League;18;793;0;0.00;0;0.00;0.00
918;Javi García;MF;es La Liga;32;377;0;0.00;0;0.00;0.00
919;Manu García;MF;es La Liga;33;1,967;0;0.00;0;0.00;0.00
920;Raúl García;DF,MF;es La Liga;30;1,012;0;0.00;1;0.09;0.09
921;Raúl García;DF;es La Liga;30;243;0;0.00;0;0.00;0.00
922;Raúl García;MF,FW;es La Liga;33;2,869;15;0.47;1;0.03;0.50
923;Rubén García;MF,FW;es La Liga;26;2,188;8;0.33;2;0.08;0.41
924;Unai García;DF;es La Liga;27;536;1;0.17;0;0.00;0.17
925;Víctor García;FW,MF;es La Liga;22;88;1;1.02;0;0.00;1.02
926;James Garner;MF;eng Premier League;18;9;0;0.00;0;0.00;0.00
927;Manuel Garrido;FW;es La Liga;18;115;0;0.00;0;0.00;0.00
928;Mario Gaspar;DF;es La Liga;28;1,962;0;0.00;2;0.09;0.09
929;Daniele Gastaldello;DF;it Serie A;36;389;0;0.00;0;0.00;0.00
930;Dwight Gayle;FW;eng Premier League;28;850;4;0.42;2;0.21;0.64
931;Paulo Gazzaniga;GK;eng Premier League;27;1,613;0;0.00;0;0.00;0.00
932;Jean-Philippe Gbamin;MF;eng Premier League;23;136;0;0.00;0;0.00;0.00
933;Yann Gboho;FW;fr Ligue 1;18;226;1;0.40;1;0.40;0.80
934;David de Gea;GK;eng Premier League;28;3,420;0;0.00;0;0.00;0.00
935;Theodor Gebre Selassie;DF;de Bundesliga;32;2,427;2;0.07;2;0.07;0.15
936;Dennis Geiger;MF;de Bundesliga;21;1,136;0;0.00;3;0.24;0.24
937;Jérémy Gélin;DF,MF;fr Ligue 1;22;924;0;0.00;0;0.00;0.00
938;Christian Gentner;MF;de Bundesliga;33;2,443;3;0.11;2;0.07;0.18
939;Yannick Gerhardt;MF;de Bundesliga;25;828;2;0.22;0;0.00;0.22
940;Valère Germain;FW;fr Ligue 1;29;1,350;2;0.13;4;0.27;0.40
941;Gervinho;FW;it Serie A;32;2,270;7;0.28;4;0.16;0.44
942;Anwar El Ghazi;FW,MF;eng Premier League;24;2,051;4;0.18;4;0.18;0.35
943;Rachid Ghezzal;MF,FW;it Serie A;27;828;1;0.11;0;0.00;0.11
944;Andrea Ghezzi;DF,MF;it Serie A;;37;0;0.00;0;0.00;0.00
945;Paolo Ghiglione;DF;it Serie A;22;1,717;0;0.00;5;0.26;0.26
946;Andrea Ghion;MF,FW;it Serie A;19;48;0;0.00;0;0.00;0.00
947;Saman Ghoddos;FW;fr Ligue 1;25;231;1;0.39;0;0.00;0.39
948;Faouzi Ghoulam;DF;it Serie A;28;376;0;0.00;1;0.24;0.24
949;Morgan Gibbs-White;MF,FW;eng Premier League;19;129;0;0.00;0;0.00;0.00
950;Niko Gießelmann;DF;de Bundesliga;27;2,057;1;0.04;1;0.04;0.09
951;Rafał Gikiewicz;GK;de Bundesliga;31;2,970;0;0.00;0;0.00;0.00
952;José Antonio Martínez Gil;DF;es La Liga;26;1,191;0;0.00;1;0.08;0.08
953;Billy Gilmour;MF;eng Premier League;18;194;0;0.00;0;0.00;0.00
954;Daniel Ginczek;FW;de Bundesliga;28;768;3;0.35;1;0.12;0.47
955;Matthias Ginter;DF;de Bundesliga;25;2,780;1;0.03;1;0.03;0.06
956;Andrei Girotto;DF;fr Ligue 1;27;2,177;1;0.04;0;0.00;0.04
957;Olivier Giroud;FW;eng Premier League;32;993;8;0.73;0;0.00;0.73
958;Klaus Gjasula;MF;de Bundesliga;29;2,280;2;0.08;1;0.04;0.12
959;Kamil Glik;DF;fr Ligue 1;31;2,070;1;0.04;0;0.00;0.04
960;Serge Gnabry;FW,MF;de Bundesliga;24;2,193;12;0.49;10;0.41;0.90
961;Joris Gnagnon;DF;fr Ligue 1;22;1,278;0;0.00;1;0.07;0.07
962;Eddy Gnahoré;MF;fr Ligue 1;25;1,133;0;0.00;0;0.00;0.00
963;Ben Godfrey;DF;eng Premier League;21;2,644;0;0.00;0;0.00;0.00
964;Diego Godín;DF;it Serie A;33;1,628;1;0.06;1;0.06;0.11
